日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level
2024-06-03,"29,629,706","25,053,781,742",839.0,853.0,837.0,846.0,+25.00,"40,694",,,,,,,,,,,,,
2024-06-04,"31,031,104","26,107,162,214",844.0,851.0,837.0,839.0,-7.00,"52,392",,,,,,,,,,,,,
2024-06-05,"37,531,781","31,774,150,536",841.0,857.0,835.0,854.0,+15.00,"41,869",,,,,,,,,,,,,
2024-06-06,"67,300,344","60,138,015,941",893.0,899.0,885.0,894.0,+40.00,"112,332",,,,,,,,,,,,,
2024-06-07,"44,489,018","39,240,336,617",885.0,888.0,879.0,879.0,-15.00,"85,990",862.4,,,,,862.4,,,,,,,
2024-06-11,"57,435,637","51,091,497,348",892.0,895.0,883.0,883.0,+4.00,"47,589",869.8,,,,,869.2666666666667,,,,,,,
2024-06-12,"51,874,967","46,791,431,521",888.0,914.0,888.0,909.0,+26.00,"74,526",883.8,,,,,882.5111111111112,,,,,,,
2024-06-13,"59,656,092","54,980,784,829",923.0,935.0,911.0,919.0,X0.00,"98,777",896.8,,,,,894.6740740740743,,,,,,,
2024-06-14,"43,289,572","39,603,293,460",916.0,922.0,905.0,922.0,+3.00,"62,552",902.4,,,,,903.782716049383,,,,,,,
2024-06-17,"28,796,529","26,475,733,502",913.0,925.0,913.0,921.0,-1.00,"44,582",910.8,,,,,909.5218106995887,,,,,,,
2024-06-18,"40,870,419","38,583,515,635",944.0,950.0,940.0,943.0,+22.00,"55,791",922.8,,,,,920.6812071330592,,,,,,,
2024-06-19,"76,684,138","74,395,758,883",953.0,984.0,953.0,981.0,+38.00,"117,235",937.2,,,,,940.7874714220395,,,,,,,
2024-06-20,"52,144,900","50,859,632,569",971.0,981.0,971.0,981.0, 0.00,"107,978",949.6,,,,,954.1916476146931,,,,,,,
2024-06-21,"97,995,843","94,882,220,706",961.0,978.0,960.0,970.0,-11.00,"131,503",959.2,,,,,959.4610984097956,,,,,,,
2024-06-24,"74,081,708","70,162,177,693",958.0,960.0,940.0,940.0,-30.00,"227,255",963.0,,,,,952.9740656065305,,65.17888916698735,,,,,
2024-06-25,"62,079,701","57,978,440,842",925.0,945.0,923.0,945.0,+5.00,"103,844",963.4,,,,,950.3160437376871,,66.42013035193006,,,,,
2024-06-26,"48,821,135","46,668,874,056",951.0,960.0,951.0,960.0,+15.00,"56,563",959.2,,,,,953.5440291584581,,69.8879737280624,,,,,
2024-06-27,"41,276,086","39,447,006,518",951.0,961.0,949.0,960.0, 0.00,"41,133",955.0,,,,,955.6960194389721,,69.8879737280624,,,,,
2024-06-28,"42,998,776","41,476,565,443",956.0,971.0,955.0,966.0,+6.00,"42,853",954.2,,,,,959.1306796259815,,71.26463333483242,,,,,
2024-07-01,"20,936,005","20,320,957,284",968.0,977.0,965.0,968.0,+2.00,"38,293",959.8,924.0,,,,962.0871197506544,924.0,71.72861109350252,,,,924.0,924.0
2024-07-02,"27,992,930","26,971,516,491",967.0,971.0,959.0,960.0,-8.00,"38,928",962.8,929.7,,,,961.391413167103,927.4285714285714,67.06400897219004,,,,929.7,929.7
2024-07-03,"25,022,531","24,386,705,873",976.0,979.0,967.0,979.0,+19.00,"36,096",966.6,936.7,,,,967.2609421114021,932.3401360544217,71.7610005941545,,,,936.7,936.7
2024-07-04,"47,251,502","47,347,126,144",1000.0,1010.0,997.0,1005.0,+26.00,"92,002",975.6,944.25,,,,979.8406280742681,939.2601230968577,76.66510148924509,,,,944.25,944.25
