日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,股票代碼
2010-10-21,20697571,2347730094,114,114.5,112.5,113,-1,9188,113.6,115.825,120.491666666667,117.92,129.94,113.598253008467,115.156901495424,42.8884663369572,-1.06783900663827,-0.846742559866308,-0.221096446771958,115.825,129.94,2317
2010-10-21,40237461,2458712121,61.3,61.4,60.8,61,0,7376,61.02,61.28,60.715,60.514,60.91,61.0225362517604,61.1269683736675,49.4481482932614,0.078878527771138,0.18792895687996,-0.109050429108822,60.514,61.28,2330
2010-10-21,9435865,3675093620,394,395,386,387,-5.5,6346,385.2,415.8,442.158333333333,442.17,496.81,389.029297669546,412.053708607462,32.8700882379429,-18.5458719819103,-16.0164877283485,-2.52938425356182,415.8,496.81,2454
2010-10-22,16111879,1833691206,114.5,114.5,113,114,1,6509,113.2,115.65,120.208333333333,117.6,129.7525,113.732168672311,115.046720400621,45.7514566684981,-1.03234666312135,-0.883863380517316,-0.148483282604029,115.65,129.7525,2317
2010-10-22,42971490,2646457386,61.7,61.8,61.4,61.8,0.8,9208,61,61.365,60.695,60.546,60.8945,61.2816908345069,61.1910666237944,55.6017800191644,0.124749884937572,0.175293142491482,-0.050543257553911,60.546,61.365,2330
2010-10-22,7146883,2771465394,392.5,392.5,382.5,387,0,4775,384.6,412.85,441.491666666667,440.73,495.91,388.35286511303,409.667641121037,32.8700882379429,-18.2204908430667,-16.4572883512921,-1.7632024917746,412.85,495.91,2454
2010-10-25,46473212,5436268687,114,118.5,114,118.5,4.5,22716,114.3,115.725,120.033333333333,117.36,129.5825,115.321445781541,115.375604171991,56.3545430685104,-0.633800278165097,-0.833850760046872,0.200050481881775,115.725,129.5825,2317
2010-10-25,38700363,2398665034,62,62.2,61.8,62,0.2,10753,61.3,61.43,60.6883333333333,60.584,60.882,61.5211272230046,61.2681078977188,57.0106785476659,0.175221747276659,0.175278863448518,-5.71161718588842E-05,60.584,61.43,2330
2010-10-25,6582630,2589838110,390,396.5,389,395,8,4715,388.4,410,440.85,439.43,495.045,390.56857674202,408.270722919034,38.4375045167054,-17.1197450409178,-16.5897796892173,-0.529965351700529,410,495.045,2454
2010-10-26,17656603,2082389977,119,119,117,118,-0.5,8893,115.5,115.75,119.775,117.08,129.415,116.214297187694,115.625546631801,55.0666637810742,-0.354212081653372,-0.737923024368172,0.383710942714799,115.75,129.415,2317
