group_id,index_1,index_2,index_3,index_4,index_5
1,0,6,8,7,10
2,1,2,3,4,5
3,9,11,40,39,38
4,12,53,13,37,36
5,14,20,19,21,18
6,15,16,17,22,30
7,23,24,29,28,81
8,25,26,27,94,83
9,31,32,33,34,35
10,41,57,60,61,42
11,43,44,46,45,47
12,48,49,50,64,73
13,51,58,63,62,59
14,52,77,75,56,76
15,54,55,78,79,85
16,65,74,66,88,87
17,67,72,68,71,70
18,69,2628,2571,2570,2569
19,80,84,93,82,92
20,86,91,90,89,2642
21,95,96,97,100,99
22,98,2681,139,101,2682
23,102,105,103,106,104
24,107,112,118,114,108
25,109,110,111,119,120
26,113,125,115,124,134
27,116,117,136,2728,2726
28,121,123,122,133,131
29,126,127,128,129,2702
30,130,2710,2711,2707,2709
31,132,2698,2697,2699,2696
32,135,2716,2717,2715,2679
33,137,2719,138,2733,2732
34,140,141,142,143,2721
35,144,145,146,147,150
36,148,149,151,152,153
37,154,155,156,157,159
38,158,160,161,162,163
39,164,165,169,166,170
40,167,168,172,171,173
41,174,175,1762,176,1766
42,177,178,180,179,1765
43,181,182,1767,183,1769
44,184,185,1768,1770,1771
45,186,1807,1806,1808,1811
46,187,1804,1803,1805,188
47,189,1842,1841,190,1840
48,191,1845,1844,1846,1847
49,192,193,198,199,197
50,194,195,196,200,201
51,202,203,211,210,218
52,204,205,209,208,206
53,207,228,233,232,231
54,212,213,215,216,214
55,217,224,225,223,222
56,219,220,221,226,227
57,229,230,234,235,236
58,237,238,239,240,241
59,242,244,243,245,246
60,247,248,1979,1968,669
61,249,250,1976,1975,672
62,251,252,253,254,258
63,255,256,257,1324,1325
64,259,261,262,260,263
65,264,277,280,265,278
66,266,286,285,273,1937
67,267,272,268,271,634
68,269,270,1944,1943,615
69,274,284,275,283,279
70,276,281,282,1321,629
71,287,288,1356,607,1926
72,289,290,1353,1343,1352
73,291,292,295,293,296
74,294,297,298,603,1349
75,299,300,1348,1347,1522
76,301,302,1338,1339,1514
77,303,304,306,305,307
78,308,309,1439,1547,1438
79,310,1549,1551,311,1550
80,312,313,314,1553,1552
81,315,472,474,473,471
82,316,317,1597,1584,475
83,318,319,1589,1588,1592
84,320,321,322,323,324
85,325,335,334,338,337
86,326,327,330,336,328
87,329,1133,1132,1151,1136
88,331,339,332,340,1600
89,333,341,1601,1615,1602
90,342,346,1617,1606,1616
91,343,1613,347,344,345
92,348,1619,1612,1621,1611
93,349,1625,1626,1628,1627
94,350,923,917,924,943
95,351,1636,949,925,359
96,352,1637,355,356,1638
97,353,354,363,364,362
98,357,358,926,948,365
99,360,361,919,2536,2511
100,366,928,927,951,950
101,367,952,929,930,1629
102,368,370,369,953,371
103,372,1631,967,966,965
104,373,374,375,956,958
105,376,377,378,379,535
106,380,381,382,387,1185
107,383,385,384,386,388
108,389,391,390,392,393
109,394,395,396,409,408
110,397,398,400,402,403
111,399,401,405,406,404
112,407,1212,1208,1211,567
113,410,411,412,413,414
114,415,416,1225,1224,1226
115,417,418,419,420,424
116,421,422,423,1577,1576
117,425,1236,1243,465,464
118,426,428,1242,427,431
119,429,430,1241,1240,1234
120,432,1244,1239,1233,1238
121,433,447,458,1246,457
122,434,1248,562,563,1249
123,435,436,557,437,556
124,438,1251,564,559,1250
125,439,571,572,1268,570
126,440,500,1204,558,441
127,442,451,452,1253,1254
128,443,461,502,553,552
129,444,445,446,1198,1245
130,448,449,450,459,1261
131,453,454,1919,1222,1221
132,455,1227,1223,1232,1231
133,456,1220,1920,1262,1073
134,460,501,1197,490,489
