encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,start_date
2.4133658,1.469,5.8775487,7.5522265,0.88373446,10.444782,0.5972328,4.561623,2010-10-28
2.6519752,1.5892876,5.9250584,7.852573,0.77368677,10.534246,0.7076346,4.841897,2010-10-29
2.7359545,1.6591293,6.0102925,8.01656,0.8024427,10.487251,0.67620164,4.9764085,2010-11-01
2.6407666,1.5096341,5.962114,7.864018,0.8384889,10.585457,0.52900213,5.0245914,2010-11-02
2.6115677,1.4840461,5.966478,7.8536167,0.8888254,10.452589,0.48522583,4.966228,2010-11-03
2.617959,1.582093,5.947943,7.857661,0.9664422,10.207899,0.49018607,4.8340316,2010-11-04
2.569454,1.4732534,5.7420487,7.6434183,0.93452275,10.406343,0.43246406,4.876099,2010-11-05
2.6374433,1.4544084,5.714178,7.6607623,0.88500893,10.491909,0.44831595,4.9537187,2010-11-08
2.62828,1.4688402,5.7789717,7.692322,0.9437702,10.301698,0.41976216,4.8754463,2010-11-09
2.5990193,1.5483879,5.7357383,7.620956,1.0344851,10.112953,0.38871554,4.7380223,2010-11-10
2.6010642,1.4893674,5.5730033,7.50364,0.98541903,10.300214,0.37649632,4.808934,2010-11-11
2.5352564,1.5005834,5.583566,7.4184337,1.0746062,10.169411,0.31169108,4.6769156,2010-11-12
2.3809526,1.6158413,5.477495,7.1511617,1.2486507,9.865751,0.2441639,4.331459,2010-11-15
2.1731746,1.7767657,5.2306814,6.7263637,1.4552675,9.57085,0.17685178,3.8768976,2010-11-16
1.955237,1.7433075,4.944264,6.2768955,1.5417383,9.582117,0.12984647,3.5100224,2010-11-17
1.7034858,1.6488454,4.8821454,5.920498,1.6881416,9.372387,0.025186783,3.0752685,2010-11-18
1.5756556,1.4731964,4.834342,5.7395988,1.6771977,9.376923,0.014279192,2.883937,2010-11-19
1.6338799,1.3458265,4.859367,5.8237996,1.5603532,9.492889,0.072120644,2.9799225,2010-11-22
1.835303,1.2424332,4.9540167,6.1191173,1.3628252,9.690927,0.17862017,3.2952516,2010-11-23
1.9422216,1.3487507,5.1674366,6.3784537,1.3994465,9.430269,0.18649614,3.387668,2010-11-24
1.9430933,1.4942545,5.1463847,6.368282,1.473138,9.24094,0.18629164,3.318612,2010-11-25
1.8365004,1.557723,5.007572,6.119776,1.5591451,9.205145,0.14214887,3.1219099,2010-11-26
