成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,predicted_close_price,day_index
9435865.0,3675093504.0,394.0,395.0,386.0,387.0,-5.5,6346.0,385.2,415.8,442.16,442.17,496.81,389.03,412.05,32.87,-18.55,-16.02,-2.53,415.8,496.81,352.46,0
7146883.0,2771465216.0,392.5,392.5,382.5,387.0,0.0,4775.0,384.6,412.85,441.49,440.73,495.91,388.35,409.67,32.87,-18.22,-16.46,-1.76,412.85,495.91,351.63,0
6582630.0,2589838080.0,390.0,396.5,389.0,395.0,8.0,4715.0,388.4,410.0,440.85,439.43,495.04,390.57,408.27,38.44,-17.12,-16.59,-0.53,410.0,495.04,349.87,0
4277923.0,1680229120.0,396.0,396.5,390.0,393.0,-2.0,3308.0,390.9,406.92,440.22,438.09,494.14,391.38,406.82,37.6,-16.22,-16.52,0.29,406.92,494.14,353.66,0
8172843.0,3159225088.0,391.0,392.0,382.5,383.0,-10.0,6414.0,389.0,403.62,439.31,436.63,493.24,388.59,404.55,33.64,-16.13,-16.44,0.31,403.62,493.24,351.2,0
7146883.0,2771465216.0,392.5,392.5,382.5,387.0,0.0,4775.0,384.6,412.85,441.49,440.73,495.91,388.35,409.67,32.87,-18.22,-16.46,-1.76,412.85,495.91,354.56,1
6582630.0,2589838080.0,390.0,396.5,389.0,395.0,8.0,4715.0,388.4,410.0,440.85,439.43,495.04,390.57,408.27,38.44,-17.12,-16.59,-0.53,410.0,495.04,353.55,1
4277923.0,1680229120.0,396.0,396.5,390.0,393.0,-2.0,3308.0,390.9,406.92,440.22,438.09,494.14,391.38,406.82,37.6,-16.22,-16.52,0.29,406.92,494.14,351.57,1
8172843.0,3159225088.0,391.0,392.0,382.5,383.0,-10.0,6414.0,389.0,403.62,439.31,436.63,493.24,388.59,404.55,33.64,-16.13,-16.44,0.31,403.62,493.24,355.49,1
8635935.0,3364232448.0,385.0,392.0,385.0,391.0,8.0,5498.0,389.8,401.22,438.52,435.31,492.45,389.39,403.26,39.16,-15.24,-16.2,0.96,401.22,492.45,352.77,1
6582630.0,2589838080.0,390.0,396.5,389.0,395.0,8.0,4715.0,388.4,410.0,440.85,439.43,495.04,390.57,408.27,38.44,-17.12,-16.59,-0.53,410.0,495.04,351.98,2
4277923.0,1680229120.0,396.0,396.5,390.0,393.0,-2.0,3308.0,390.9,406.92,440.22,438.09,494.14,391.38,406.82,37.6,-16.22,-16.52,0.29,406.92,494.14,351.12,2
8172843.0,3159225088.0,391.0,392.0,382.5,383.0,-10.0,6414.0,389.0,403.62,439.31,436.63,493.24,388.59,404.55,33.64,-16.13,-16.44,0.31,403.62,493.24,349.29,2
8635935.0,3364232448.0,385.0,392.0,385.0,391.0,8.0,5498.0,389.8,401.22,438.52,435.31,492.45,389.39,403.26,39.16,-15.24,-16.2,0.96,401.22,492.45,353.09,2
7817027.0,3023729408.0,389.5,391.0,384.5,385.0,-6.0,5473.0,389.4,398.02,437.63,433.85,491.58,387.93,401.52,36.69,-14.84,-15.93,1.08,398.02,491.58,350.5,2
4277923.0,1680229120.0,396.0,396.5,390.0,393.0,-2.0,3308.0,390.9,406.92,440.22,438.09,494.14,391.38,406.82,37.6,-16.22,-16.52,0.29,406.92,494.14,352.47,3
8172843.0,3159225088.0,391.0,392.0,382.5,383.0,-10.0,6414.0,389.0,403.62,439.31,436.63,493.24,388.59,404.55,33.64,-16.13,-16.44,0.31,403.62,493.24,351.64,3
8635935.0,3364232448.0,385.0,392.0,385.0,391.0,8.0,5498.0,389.8,401.22,438.52,435.31,492.45,389.39,403.26,39.16,-15.24,-16.2,0.96,401.22,492.45,349.84,3
7817027.0,3023729408.0,389.5,391.0,384.5,385.0,-6.0,5473.0,389.4,398.02,437.63,433.85,491.58,387.93,401.52,36.69,-14.84,-15.93,1.08,398.02,491.58,353.53,3
14517967.0,5681196544.0,380.0,399.0,380.0,393.5,8.5,10631.0,389.1,396.3,436.78,432.66,490.76,389.78,400.76,42.24,-13.69,-15.48,1.79,396.3,490.76,350.96,3
8172843.0,3159225088.0,391.0,392.0,382.5,383.0,-10.0,6414.0,389.0,403.62,439.31,436.63,493.24,388.59,404.55,33.64,-16.13,-16.44,0.31,403.62,493.24,348.64,4
