Feature1,Feature2,Feature3,Cluster
-0.6757844,0.0141347945,0.25992745,0
-0.6739507,0.011014134,0.2757516,0
-0.6684119,-0.00056660175,0.26617748,0
-0.66543573,-0.008123934,0.25609505,0
-0.6715713,-0.009924695,0.25967523,0
-0.66793233,-0.014460579,0.27205917,0
-0.65898347,-0.017055735,0.28737018,0
-0.6429728,-0.022918582,0.30471975,0
-0.63334835,-0.027920857,0.32481045,0
-0.61845034,-0.03528078,0.35108048,0
-0.6181916,-0.0422069,0.35459274,0
-0.62575793,-0.054838717,0.3488737,0
-0.6328139,-0.06263165,0.34464362,0
-0.6286985,-0.07021339,0.3485688,0
-0.6272227,-0.07936576,0.3354097,0
-0.62707174,-0.07740535,0.33823448,0
-0.6158295,-0.077514306,0.35598838,0
-0.59529775,-0.074144766,0.38450134,0
-0.569453,-0.07390934,0.40358102,0
-0.5569153,-0.08337757,0.40782803,0
-0.54261816,-0.08602308,0.39887965,0
-0.55000967,-0.093534514,0.37170064,0
-0.56710523,-0.096301034,0.34653255,2
-0.59010464,-0.103241295,0.32131916,2
-0.61572266,-0.10152422,0.3019012,2
-0.63906586,-0.1055197,0.27889127,2
-0.656013,-0.09982239,0.27707866,2
-0.6646852,-0.09281576,0.28943095,0
-0.6799608,-0.087365225,0.30587104,0
-0.685885,-0.08250089,0.31695732,0
-0.6967867,-0.07648441,0.33109146,0
-0.697359,-0.071791634,0.33480144,0
-0.69817656,-0.068020314,0.33736694,0
-0.7021956,-0.061963633,0.34091717,0
-0.70601696,-0.054665774,0.35217023,0
-0.71836877,-0.04765095,0.3521709,0
-0.7286561,-0.04253283,0.35195524,0
-0.73562,-0.033808693,0.3606906,0
-0.73947763,-0.030117244,0.36163774,0
-0.7333387,-0.027739182,0.3707556,0
-0.73332185,-0.028558403,0.37113458,0
-0.7256191,-0.028606191,0.3854223,0
-0.719107,-0.02241309,0.39954758,0
-0.7149129,-0.025512084,0.40386945,0
-0.69998586,-0.027250543,0.41925818,0
-0.6774994,-0.036879525,0.4211167,0
-0.65827423,-0.04230669,0.42925274,0
