Feature1,Feature2,Feature3,Feature4,Cluster
0.062968604,0.46842167,0.051642016,0.5708493,2
-0.0007441193,-0.31233543,-0.40327665,0.26438507,3
-0.050574727,0.18961509,-0.34739333,0.3226372,1
0.11305673,0.44030586,0.08422674,0.59521407,2
-0.0022985414,-0.3475419,-0.40452987,0.30887777,3
-0.052533083,0.18915586,-0.28689134,0.31847715,1
0.24106106,0.32013544,-0.01925467,0.7147237,2
0.0019702837,-0.352319,-0.37906024,0.3135764,3
-0.02467079,0.1428536,-0.2662504,0.36377367,1
0.14861205,0.37968546,0.10820611,0.6885275,2
0.00316412,-0.36453226,-0.37256777,0.32767496,3
-0.06790932,0.16555859,-0.20188382,0.3497189,1
0.089845575,0.41683298,0.09560682,0.64844257,2
0.016411513,-0.3473917,-0.33758646,0.30100435,3
-0.071319394,0.17717248,-0.31263217,0.32756793,1
0.12396441,0.38993004,0.06688006,0.6639333,2
-0.0052027926,-0.3877805,-0.49231458,0.36367393,3
-0.010650594,0.11421904,-0.31667173,0.3793431,1
0.09714488,0.41022852,0.11248921,0.6520179,2
-0.007634163,-0.39302626,-0.5185512,0.37209567,3
-0.057869285,0.14716405,-0.29644254,0.35203883,1
0.12271748,0.38114884,0.08281882,0.6785718,2
-0.011443857,-0.4216674,-0.5539353,0.4090073,3
0.03897597,0.061146554,-0.49084294,0.43197483,3
0.08789312,0.3984804,0.10490619,0.66097593,2
0.020270437,-0.3850229,-0.3094374,0.35405767,3
-0.013069648,0.089217976,-0.49808168,0.4067912,3
0.05293855,0.42182875,0.056862816,0.6303572,2
0.014989667,-0.41774118,-0.40782064,0.39518636,3
0.016374864,0.058501203,-0.4594378,0.43660185,3
0.11762778,0.37333637,0.08889268,0.67502457,2
0.016746081,-0.4082568,-0.3395281,0.38458824,3
0.037559614,0.022011157,-0.42878088,0.4806336,3
0.07687395,0.38159004,0.046619475,0.6759129,2
0.020173222,-0.42640758,-0.3998398,0.4073687,3
-0.0060019344,0.04564165,-0.47492558,0.46212795,3
0.05404096,0.40541583,0.073782906,0.6492526,2
0.02573537,-0.36080155,-0.32266712,0.32130405,3
-0.065725856,0.100810766,-0.36493695,0.4016495,1
0.045015395,0.41845754,0.05141601,0.62687725,2
0.019929156,-0.38456535,-0.31396842,0.35324687,3
-0.078619584,0.119127706,-0.25664565,0.38040003,1
0.08079774,0.385159,0.07566403,0.66130966,2
0.013674535,-0.3988233,-0.38087967,0.37213746,3
-0.07662434,0.119932726,-0.2653091,0.37483066,1
0.038209632,0.41198906,0.046143755,0.63419366,2
0.01783017,-0.36454806,-0.34484467,0.32845375,3
-0.07125323,0.11180188,-0.2623264,0.38015157,1
0.009380378,0.44022307,-0.030656204,0.5892519,2
0.021264918,-0.32914075,-0.3506831,0.28334582,3
-0.08797545,0.12824517,-0.26769215,0.3617498,1
0.012072511,0.4575899,-0.033198,0.555756,2
0.018166892,-0.36291894,-0.32862175,0.32377893,3
-0.084034376,0.11907716,-0.21483335,0.37035653,1
0.028136529,0.44107878,0.046253383,0.5732329,2
0.004849106,-0.3950671,-0.46674597,0.37162134,3
-0.039758842,0.06973176,-0.32287925,0.41525415,1
0.034899876,0.4464522,0.02089037,0.56230277,2
0.0072578043,-0.35604155,-0.4455098,0.32493848,3
-0.08345095,0.09849383,-0.23384184,0.39314902,1
0.042906463,0.4308472,0.07527898,0.5840452,2
0.006477043,-0.32796907,-0.3908298,0.2874732,3
-0.07567682,0.097535685,-0.282828,0.38909373,1
0.056824602,0.41557708,0.019698441,0.5993111,2
0.023974985,-0.34113148,-0.3208456,0.29439652,3
-0.05823459,0.07652362,-0.31137943,0.40764117,1
0.084176935,0.39180678,0.057184786,0.6268291,2
0.022385791,-0.34428123,-0.3259551,0.2998162,3
0.03809213,-0.018977573,-0.3978098,0.50645787,3
0.04084161,0.43197283,0.021529451,0.5825713,2
0.015538901,-0.32627004,-0.35753506,0.28079012,3
0.14391613,-0.07721865,-0.7507756,0.58782446,3
0.037634753,0.4423015,0.017445356,0.5591123,2
0.016151108,-0.31724906,-0.3554377,0.26843035,3
-0.007850647,-0.0245838,-0.38875645,0.5288759,3
0.040979996,0.44009766,0.0112571865,0.55727804,2
0.0058135837,-0.36284012,-0.3582533,0.32837474,3
-0.05050737,0.0061234348,-0.32757062,0.5024191,1
0.017515607,0.4575307,-0.025674328,0.5300155,1
0.00817287,-0.3626342,-0.35614172,0.32797095,3
-0.04097738,-0.005399704,-0.34033307,0.51437587,1
0.0108757615,0.4674622,-0.050387025,0.5071374,1
0.0053731054,-0.35846603,-0.3648585,0.32278547,3
-0.07688236,0.026389416,-0.27616388,0.485456,1
0.0031071827,0.48326442,-0.07084295,0.4745904,1
-0.024591774,-0.3261345,-0.5399424,0.2978813,3
-0.078177646,0.040241826,-0.33589494,0.46609497,1
0.07829531,0.42138532,-0.023501784,0.53048474,1
-0.005738072,-0.370639,-0.47650558,0.3445551,3
-0.09109047,0.045319732,-0.247479,0.46195662,1
0.025721572,0.45894346,-0.027429983,0.49651834,1
-0.01830674,-0.42537463,-0.609787,0.42151287,3
-0.049806252,0.0039938837,-0.35230723,0.49990162,1
0.1683341,0.34462452,-0.056210384,0.6011346,1
-0.056190144,-0.4771851,-0.80575025,0.5075161,3
0.3119186,-0.22418503,-0.98445636,0.7724843,3
0.12996873,0.36173177,0.012664095,0.60512275,2
0.013312921,-0.45882443,-0.45650542,0.45258433,3
0.11879773,-0.15551305,-0.64261603,0.70082396,3
0.14354181,0.35387433,0.0642869,0.6199838,2
0.009855799,-0.43654758,-0.46029687,0.4256051,3
-0.04604343,-0.07073314,-0.3011437,0.6140296,1
0.11874921,0.36818957,0.07635589,0.6103308,2
0.019386008,-0.43268532,-0.4070906,0.41952118,3
0.009282514,-0.11167151,-0.40600032,0.65905255,3
0.13682625,0.3472915,0.052206755,0.6317281,2
-0.006488763,-0.48319644,-0.6111905,0.4946119,3
-0.034174625,-0.09528668,-0.28930667,0.6518832,1
0.12396737,0.34889233,0.056360364,0.6317284,2
0.025553398,-0.44238538,-0.33309966,0.43541718,3
-0.08928357,-0.032199837,-0.30729258,0.58986366,1
0.08164459,0.37684128,0.04844576,0.6049658,2
0.028086819,-0.4342671,-0.3632601,0.42454574,3
-0.04322511,-0.08254598,-0.26929763,0.639382,1
0.17523146,0.28652447,-0.03186348,0.6931705,2
0.014460094,-0.42611733,-0.4594255,0.41506433,3
-0.02681508,-0.09944591,-0.42297474,0.66795063,3
0.12407807,0.31901774,0.06010501,0.6802563,2
0.016829848,-0.44631997,-0.45210326,0.4388014,3
-0.096424446,-0.042353414,-0.2564665,0.6147863,1
0.15257153,0.2914438,0.0766698,0.7114998,2
0.01621911,-0.4689077,-0.48901415,0.46901536,3
-0.12880868,-0.00058864057,-0.2108789,0.5742544,1
0.08188587,0.33197552,0.05644411,0.6797003,2
-0.016888399,-0.5041386,-0.7006677,0.5323645,3
-0.043556497,-0.07587524,-0.36409444,0.64357513,3
0.071454905,0.34587625,0.08636887,0.66359997,2
-0.010976516,-0.43277767,-0.6216234,0.43909052,3
-0.11289956,-0.025769534,-0.21362382,0.6073193,1
0.102741234,0.31785148,0.09626971,0.69058716,2
0.009426124,-0.42666712,-0.47995186,0.4195266,3
-0.1077207,-0.03693566,-0.16509634,0.62169665,1
0.09478945,0.31191206,0.097469375,0.7026879,2
0.02904725,-0.4028788,-0.30951047,0.3890186,3
-0.111636996,-0.0149537735,-0.28897756,0.59547687,1
0.14091134,0.24896364,0.0001718998,0.7749443,2
0.029538557,-0.4006431,-0.35487086,0.3859794,3
-0.11771135,-0.01578163,-0.1872188,0.5996012,1
0.061210625,0.31312326,0.08139779,0.7259117,2
0.008943312,-0.40339208,-0.4528426,0.39069903,3
-0.14472726,0.031349074,-0.24046066,0.5528683,1
0.06678384,0.31393704,0.09860344,0.72324026,2
0.02078417,-0.39353296,-0.40743688,0.37862322,3
-0.15792681,0.07282135,-0.3008489,0.5002567,1
0.05981139,0.31747583,0.09490605,0.7254757,2
0.0231141,-0.39308882,-0.3622265,0.3764208,3
-0.13675785,0.064195424,-0.24368869,0.49982232,1
0.029034086,0.357126,0.050991178,0.6809689,2
0.022136636,-0.38044932,-0.38593,0.36303902,3
-0.1381757,0.083285734,-0.26152492,0.47707143,1
0.059204407,0.31921098,0.07457043,0.7179656,2
0.008596636,-0.38764855,-0.45407116,0.37303424,3
-0.13545553,0.09286593,-0.2529928,0.4621203,1
0.05052544,0.31814858,0.08414753,0.7269102,2
-0.08323477,-0.42330098,-0.87079394,0.4615506,3
-0.100647114,0.036179285,-0.25640887,0.51534253,1
0.041073576,0.32295385,0.083271936,0.7272915,2
0.019139938,-0.39137715,-0.35749727,0.37520018,3
-0.120713055,0.0628895,-0.21791518,0.4953635,1
0.037215374,0.3188293,0.04902312,0.73171973,2
0.020249777,-0.39415762,-0.35892588,0.37914094,3
-0.10764818,0.040664833,-0.25524813,0.51516837,1
-0.008094713,0.39417034,-0.036688313,0.639381,2
0.004116863,-0.3296474,-0.4620245,0.30973834,3
-0.085887805,0.020274404,-0.3116046,0.5319948,1
-0.017926432,0.39943194,0.034930363,0.6309865,2
0.008437879,-0.37010756,-0.42009825,0.35167068,3
-0.13673131,0.08076757,-0.29238942,0.47480777,1
-0.024205163,0.41221273,0.024749845,0.61355823,2
-0.11579641,-0.4408199,-0.99697506,0.50105697,3
-0.11740221,0.11024688,-0.6979898,0.43154433,3
-0.031233557,0.42539033,0.03431049,0.59546673,2
0.0034394115,-0.4488876,-0.50961405,0.45126832,3
-0.13901755,0.1541421,-0.30708197,0.36612576,1
-0.0075651333,0.3670405,0.06558786,0.65783554,2
-0.005129941,-0.45719284,-0.5686473,0.46743286,3
-0.07837191,0.07523991,-0.32939988,0.43725502,1
0.008001067,0.36900276,0.07456519,0.66271174,2
0.017333932,-0.45363376,-0.4300608,0.45663342,3
-0.021510981,-0.00059769675,-0.4224863,0.52463996,3
0.049754642,0.33438388,0.048466086,0.6931904,2
-0.020686604,-0.452577,-0.6166552,0.46903902,3
-0.08652089,0.043174695,-0.2946423,0.4876287,1
0.028390683,0.34617814,0.095105484,0.6900969,2
0.019271933,-0.4280638,-0.31733483,0.42770147,3
-0.1188017,0.07498315,-0.22898611,0.45882,1
0.012272045,0.38971356,0.043554664,0.64011145,2
0.0067355037,-0.46624464,-0.49126148,0.47514182,3
-0.12633288,0.09599179,-0.26418886,0.4307207,1
0.00013794005,0.38952795,0.057904407,0.63075984,2
0.02075161,-0.4752658,-0.44404835,0.4870865,3
-0.10658933,0.081218764,-0.20718086,0.4401932,1
0.029804677,0.3428022,0.0897771,0.6854425,2
-0.0038889498,-0.5007083,-0.5786407,0.5261371,3
-0.10975316,0.07722266,-0.20999303,0.4457948,1
0.055272974,0.3210199,0.012327865,0.7075903,2
0.03770539,-0.41669843,-0.3944215,0.4188079,3
-0.10494536,0.08534926,-0.21301448,0.43249536,1
0.017499052,0.37908027,0.024670035,0.64849174,2
-0.011399228,-0.36846042,-0.5772669,0.37100843,3
-0.101865605,0.090843365,-0.21538924,0.42121324,1
0.0095808655,0.3744728,0.09690882,0.65346205,2
0.014722176,-0.37268472,-0.41371828,0.36497515,3
-0.097681865,0.094134316,-0.211035,0.41633013,1
0.014449634,0.36216584,0.070853874,0.6682091,2
0.010405153,-0.36353984,-0.43538344,0.35587198,3
-0.0985672,0.08572814,-0.2000836,0.42480245,1
0.14335471,0.2203459,-0.1880836,0.8094845,2
-0.006099187,-0.35575244,-0.5116856,0.35025328,3
-0.09295342,0.0625273,-0.16926093,0.44877887,1
0.16431025,0.16758588,-0.2685212,0.9008358,2
-0.006667115,-0.37128142,-0.52414167,0.36862415,3
-0.06360462,0.022267047,-0.28239626,0.48944926,1
0.13236797,0.19764479,-0.042807207,0.9000845,2
-0.039289195,-0.4055384,-0.71267885,0.42911816,3
-0.09776623,0.06843889,-0.3493513,0.442884,1
0.09012275,0.22371353,-0.04093638,0.8890971,2
-0.038665,-0.37487006,-0.7202836,0.39580798,3
-0.105762914,0.11852388,-0.65576214,0.37639755,3
-0.04947142,0.35296944,-0.069876246,0.7465857,2
-0.01992393,-0.31689045,-0.5900634,0.3148452,3
-0.09550698,0.14669046,-0.7669885,0.3269405,3
-0.020162225,0.35764784,-0.0077182204,0.71928304,2
-0.031705163,-0.27442613,-0.61027676,0.26699305,3
-0.05980043,0.12659752,-0.44352376,0.3189249,1
-0.035226703,0.40327838,-0.059682414,0.6577477,2
-0.06920516,-0.26710084,-0.7511082,0.2765196,3
-0.09782306,0.16144417,-0.41339517,0.28037164,1
-0.05583032,0.3997285,0.045316666,0.6636976,2
-0.02738395,-0.28929183,-0.5286823,0.27306154,3
-0.10950613,0.16132416,-0.2678888,0.27701044,1
-0.0632455,0.42827606,-0.011745855,0.62269217,2
-0.01660863,-0.28447327,-0.48122513,0.26538444,3
-0.07495039,0.13483563,-0.2972816,0.29269117,1
-0.07433519,0.43444505,0.03179817,0.61117566,2
-0.01950927,-0.27326652,-0.47274065,0.2522777,3
-0.09226644,0.14964929,-0.26048696,0.27794987,1
-0.07005709,0.43718892,0.0338054,0.60530066,2
-0.017983086,-0.283182,-0.44643766,0.26179725,3
-0.097103566,0.16334976,-0.3237956,0.2548501,1
-0.054158505,0.41547525,0.09328191,0.63087755,2
-0.036115285,-0.30703384,-0.5618757,0.29700643,3
-0.07559518,0.137858,-0.24179032,0.26988912,1
-0.049408354,0.4424727,-0.047195002,0.58243895,1
