date,keyword,title,link,publish_date
,台積電 財經,939毫米蘇澳創平地單日雨量紀錄- 焦點要聞- 中國時報,https://www.chinatimes.com/newspapers/20101022000399-260102,2010年10月22日
,台積電 財經,追尋價值護理師轉壽險業- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20101124000368-260202,2010年11月24日
,台積電 財經,擴產能台積電買力晶廠地- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20101227000001-260202,2010年12月27日
,台積電 財經,金融業第1家 中國信託獲BSI認證,https://ec.ltn.com.tw/article/paper/454091,2010年12月22日
,台積電 財經,進用身障不足額 台積電遭點名,https://ec.ltn.com.tw/article/paper/464021,2011年1月29日
,台積電 財經,MWC引爆需求，概念股發燒四大晶片爆紅- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20110214000001-260202,2011年2月14日
,台積電 財經,清潔概念股業績添動能- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20110220000014-260202,2011年2月20日
,台積電 財經,揭曉第三屆台積電青年書法大賞- 藝文副刊- 中國時報,https://www.chinatimes.com/newspapers/20110407001966-260115,2011年4月7日
,台積電 財經,ARM架構訂單湧入晶圓雙雄- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20110525000005-260202,2011年5月25日
,台積電 財經,董監全額連記制 今年達20家,https://www.chinatimes.com/newspapers/20110606000119-260202,2011年6月6日
,台積電 財經,李雲光出庭應訊,https://tw.news.yahoo.com/news/%E6%9D%8E%E9%9B%B2%E5%85%89%E5%87%BA%E5%BA%AD%E6%87%89%E8%A8%8A-123145542.html,2011年7月4日
,台積電 財經,盧志遠 最佩服小國大廠飛利浦,https://ec.ltn.com.tw/article/paper/513079,2011年8月1日
,台積電 財經,EMBA學費狂飆北大漲破50萬人民幣- 產業財經- 旺報,https://www.chinatimes.com/newspapers/20110919000764-260303,2011年9月19日
,台積電 財經,台積28奈米五春燕報到- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20111025000003-260202,2011年10月25日
,台積電 財經,政府充耳不聞 張忠謀苦心換無奈,https://www.businesstoday.com.tw/article/category/80392/post/201110200028/,2011年10月20日
,台積電 財經,導入水足跡用水效能更精進- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20111121000098-260202,2011年11月21日
,台積電 財經,進用身障者科技業要加油- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20111120000040-260202,2011年11月20日
,台積電 財經,Google 推出 Currents：具備雜誌排版的閱讀器，支援 Android 與 iOS（影片）,https://tw.stock.yahoo.com/news/chinese-2011-12-08-google-introduces-currents-magazine-like-news-reader-for-androi.html,2011年12月8日
,台積電 財經,愛炒房勝炒股 陸富人平均擁屋3.3棟,https://www.chinatimes.com/newspapers/20111208001552-260108,2011年12月8日
,台積電 財經,金錢豹集團將籌設大學　網友諷：垂直整合,https://finance.ettoday.net/news/13599,2011年12月19日
,台積電 財經,老闆租地種菜 員工度過金融危機 ｜ 公視新聞網 PNN,https://news.pts.org.tw/article/199841,2012年1月4日
,台積電 財經,美林：記憶體族群 看不到春燕,https://ec.ltn.com.tw/article/paper/560988,2012年2月15日
,台積電 財經,16檔AI供應鏈龍騰- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20120129000004-260202,2012年1月29日
,台積電 財經,張綱維稱不愛名女人　自爆「我單身」,https://finance.ettoday.net/news/22202,2012年2月1日
,台積電 財經,第四屆台積電青年書法暨篆刻大賞- 藝文副刊- 中國時報,https://www.chinatimes.com/newspapers/20120320000872-260115,2012年3月20日
,台積電 財經,笑談哈佛　張忠謀：宿舍經驗永生難忘,https://finance.ettoday.net/news/32885,2012年3月19日
,台積電 財經,張忠謀：我身體很好，母親102歲,https://finance.ettoday.net/news/29505,2012年3月5日
,台積電 財經,8吋廠紛轉型 拚獲利不容易,https://ec.ltn.com.tw/article/paper/574691,2012年4月9日
