date,keyword,title,link,publish_date,article_text
,聯發科 財經,2現象驗證 主升段來了！ - Smart自學網|財經好讀 - 出版品 - 密技 - 賺錢，跟著贏家走,https://smart.businessweekly.com.tw/Books/special2.aspx?p=4&id=41869&type=1,2010年11月26日,"第3波》主升段
進入主升段，投資人數最多，也是最容易獲利的一段，此時行情熱絡，追價意願強烈，成交量放大，大型股與集團股變成「大象也會跳舞」，就5波段來看，這個上升波的時間維持最長，漲幅也最高。
第4波》修正波
主升段的修正，最低點不會低於第1波的高點，有些二線的中小型股票會此時補漲，但是就長線來看，整體市場已開始轉退。
第5波》末升段
經過第4波回檔，指數向上再創新高，漲幅至少會與初升段相當，但不會高於主升段。此時行情很可能在多頭氣勢最強時突然反轉，投資風險極高。
3段下降波：
A波》初跌段
多頭盛宴結束，股價過不了高點，會開始往抵抗力較小的地方（即下跌）前進。
B波》反彈
主跌段後的短暫反彈，此時已出現明顯的價量背離，量能無法推動上升的力道。來不及在主跌段出場的投資人可趁機脫身，又被稱為「逃命波」。
C波》主跌段
全面下跌，跌幅大且強勁；景氣明顯轉弱，利空消息瀰漫，市場氣氛恐慌，投資人在恐慌中殺出套牢持股。
▲波浪示意圖
主升段行情，主流股表現超越大盤
回顧近20年的兩波大行情，一次是在1994年～2000年，受惠於全球科技產品的廣大需求，以及新台幣貶值的影響，1994年9月掛牌的台積電（2330），帶領電子代工業崛起，奠定電子股十多年的主流地位。
1996年3月28日的台海危機落幕，截至1997年8月，此段應為本波循環的主升段，大盤上漲幅度為99.7%，當時電子代工大廠鴻海（2317）創下1,031.6%的漲幅，晶圓雙雄台積電與聯電（2303）的漲幅分別為480.2%與467.8%（股價漲幅以還原權值計算）。
另一波歷史大行情則出現在2003年至2008年，主流股包括IC設計、自有品牌企業與原物料，以聯發科（2454）、宏達電（2498）與宏碁（2353）為代表。從2005年10月截至2007年10月30日這段期間可視為主升段，大盤漲幅為69.3%，宏達電股價漲幅達221.1%，聯發科與宏碁則分別有171.6%及32.4%的漲幅。
▲1994～2000年台股走勢&2003～2008年台股走勢
名詞解釋_死亡交叉
短週期的移動平均線，由上向下穿越下滑中較長週期移動平均線的現象，例如：10日線由上向下穿越20日線。
名詞解釋_空頭排列
標的價格在下滑中的短週期均線之下，而短、中、長週期之均線依序甴下而上排列，即是空頭排列。例如： 標的價格45元，10日線46元，20日線48元，60日線50元。
小檔案_林成蔭
出生：1965年
學歷：英國萊斯特大學企管碩士、逢甲大學水利工程系
經歷： 萬寶投顧基金事業處執行副總、新光投信協理、政府四大基金委外代操經理人
現職： 證券期貨發展基金會講師、台北金融研究發展基金會講師"
,聯發科 財經,聯發科併雷凌 不影響市佔率,https://ec.ltn.com.tw/article/paper/499240,2011年6月9日,"〔記者廖千瑩／台北報導〕被媒體形容為「強強合體」的聯發科（2454）併雷凌（3534）案，公平會昨天准了！公平會認為，聯發科與雷凌雖同屬半導體晶片設計業者，但其主力產品在應用及競爭者均不同，雙方結合應不會對既有產品的市佔率有明顯影響，決議不禁止雙方結合。
聯發科及雷凌日前宣布合併，合併換股比例為3.15股雷凌換發1股聯發科，聯發科為存續公司，雷凌將轉為聯發科旗下100%持股的子公司，合併基準日訂為今年10月1日。
合併完成後，聯發科無論在手機、WiFi或寬頻等網通產品線將更為齊備。
針對這項合併案，公平會表示，聯發科公司及雷凌公司雖同屬半導體晶片設計業者，但其主力產品在應用及競爭者皆不相同，聯發科以手機IC設計為主、雷凌則精於無線網路通訊晶片（WLANIC）市場。
公平會也強調，聯發科雖然也從事無線網路連結晶片的設計，但該晶片設計業務佔聯發科公司總銷售金額甚低，且從NB或手機的應用來看，其市場本質完全不同，所以此結合案應屬多角化結合。
公平會說明，聯發科與雷凌各自主力產品的市佔率雖然很高，但2家結合不會對既有產品市佔率有明顯影響，經評估也不會有高度參進障礙問題，因此決議同意此結合案。
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎 點我下載APP 按我看活動辦法"
,聯發科 財經,蔡宏圖表態：支持穩定的兩岸關係,https://finance.ettoday.net/news/18779,2012年1月13日,"財經中心／台北報導
大選結果牽動兩岸關係，很少對政治議題發言的國泰金控董事長蔡宏圖12日表示，台灣能有今天的發展，兩岸關係非常重要，有穩定的兩岸關係，企業才能永續發展；他「表態」支持「穩定的兩岸關係」。
▲馬英九的兩岸政策獲企業界支持。
國泰人壽12日舉行業務大會，總統馬英九應邀出席，這也是國壽歷年業務大會首次邀請現任總統參加。對於國泰人壽今年起扛下民眾從台灣往返馬祖的保險責任，馬英九盛讚這是善盡企業社會責任的良好典範。
蔡宏圖致詞時說，台灣要有穩定發展，兩岸關係非常重要，對台灣企業的永續經營也非常重要，很高興馬總統上任來建立了廉能政府，並帶領台灣平安度過金融海嘯，更加營造兩岸和諧關係、促成兩岸經濟協議的簽訂，讓台灣每個產業、每個企業有更大信心去規劃發展。
蔡宏圖表示，今年是國壽成立50周年，意義重大，因此主動邀請馬總統與會，總統也欣然同意。他希望業務同仁能夠了解，台灣未來的發展，兩岸關係非常重要，有穩定的兩岸關係，企業才能夠永續發展。
讀者迴響"
,聯發科 財經,美林：記憶體族群 看不到春燕,https://ec.ltn.com.tw/article/paper/560988,2012年2月15日,"〔記者羅倩宜／台北報導〕美林證券表示，半導體供應鏈已經由上游的晶圓代工率先復甦，IC設計、通路及封測廠3月份業績將明顯上揚。唯獨記憶體類股無法樂觀，2月份台灣DRAM廠的業績將持續萎縮。
美銀美林出具最新半導體產業報告指出，台灣晶圓代工廠1月份營收月增8.0%，比12月份下滑10.5%改善許多，3月份進入旺季，業績將明顯上揚。其中台積電（2330）1月份業績為345.7億元，已達Q1目標的1/3，美林預估3月將出現10%以上的增幅。聯電（2303）1月份業績已達Q1目標的34%。美林對晶圓雙雄均維持買進評等。
IC設計部分，1月份整體族群營收月減17.7%，比淡季還淡，大多數IC廠都受到春節影響，來自中國的需求下降。其中通訊、電腦、消費及特殊記憶體等類別IC影響較大，減幅約15%到27%。顯示IC及類比IC所受衝擊較小。聯發科（2454）1月合併營收創下近一年新低，不過新款的MT6575手機晶片即將在世界行動通訊大會（MWC）如期發表，是強攻低價智慧手機市場的主力。晨星（3697）挾Smart TV晶片優勢，另一項NFC技術也獲歐洲手機品牌使用。聯詠（3034）、瑞昱（2379）、立錡（6286）3月份業績將出現8%到19%的強勁月增幅。
封測類股1月份業績下滑5.7%，比歷史均值的2.1%更多，也出現比淡季更淡的景況。美林預估3月份就有明確反彈，其中日月光（2311）1月份業績為135.6億元，2、3月份將反彈6%及12%。矽品3月份銷售也將上揚7.5%。南電（8046）提供給英特爾的MPU載板，目前似乎出現良率問題，該項業務占營收1/4，值得關注。
記憶體族群目前還看不到春燕飛來。台灣DRAM廠近來有不少利多，例如合約價走高、Q1平均單價穩定。不過美林認為不宜過度樂觀，主要是2Gb DDR3的最新現貨價比一個月前下跌了10%，來到0.9美元。另外韓廠也暗示有削價風險。南科（2408）1月業績雖大增28%，但並不構成季節反轉的訊號，僅是清減庫存所致，因為來自OEM廠的需求並沒有增加，尤其PC廠商訂單更為疲軟。美林預估南科及力晶（5346）2月份業績可能萎縮。華亞科（3474）有美光撐腰，美光稍早重申將參與收購新股，是唯一的利多。
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎 點我下載APP 按我看活動辦法"
,聯發科 財經,張綱維稱不愛名女人　自爆「我單身」,https://finance.ettoday.net/news/22202,2012年2月1日,"財經中心／綜合報導
外傳和藝人韋汝未婚生子的樺福集團董事長張綱維，1日宣布位於新北市淡水區小坪頂的「環遊郡」38件新成屋，將以6折價格出清，每坪底價在12萬至16萬元間。另外，而當記者詢問感情問題時，他低調表示比較喜歡沒有名氣的女性，且目前是單身。
樺福集團旗下樺富建設投資興建的「環遊郡」成屋，委託戴德梁行以舉牌競標方式出售。張綱維表示不是斷尾求生，強調個人或公司、甚至遠航的財務都沒有問題，單純只是喜歡嘗試新的銷售策略、新的方法，透過市場機制，找到買賣雙方都能接受的價格，進而為後續的豪宅推案造勢。
對於先前傳出疑似積欠坤福營造8600萬的工程款，導致「環遊郡」建案六層樓公設，以及疊翠山莊兩戶房屋遭到法院查封。張剛維矢口否認，表示有爭議的是東隆五金和長谷興建的公設。
曾和關之琳、吳亞馨、陳怡蓉傳出緋聞的張綱維，先前韋汝才為他生下兒子，不久前私會自家空姐范璧如勾手吃火鍋被抓包。張今天被媒體追問情事時，則四兩撥千斤表示，自己不擅長感情。
讀者迴響"
,聯發科 財經,科技富豪避稅「星」趨勢　曹興誠、王泉仁入籍新加坡,https://finance.ettoday.net/news/41310,2012年4月24日,"▲ 台塑集團長孫王泉仁(右二)已入籍新加坡。(圖／資料照片／東森新聞提供)
財經中心／綜合報導
繼聯電榮譽董事長曹興誠以及台塑集團長孫王泉仁入籍新加坡之後，業界傳出，新加坡移民局近來猛向台灣科技業富豪招手，並且祭出高規格的待遇吸引「追星族」入籍，上個星期傳出已有好幾個半導體業界的大老闆前往面試，預計今年就會入籍新加坡，消息一出，不禁讓外界頻頻搖頭，紛紛認為可能是因為國內稅率太高，才會逼得大老闆也出走。
一句「我是台灣人」台積電副董事長曾繁城曾公開表達自己根留台灣的立場，但可不是每一個科技業大老闆都像他一樣！先是聯電榮譽董事長曹興誠(如左圖／翻攝自網路)放棄中華民國國籍，改當新加坡人，震撼國內科技圈，無獨有偶，上個月又傳出，台塑集團長孫王泉仁也放棄美國籍，同樣改為入籍新加坡。不禁讓許多人好奇，富豪們紛紛搶當「追星族」，究竟新加坡有哪一點吸引他們？
經常提供大老闆理財建議的會計師林慶隆表示，「避稅」恐怕就是大老闆們外移的主要原因之一。林慶隆說，台灣和新加坡兩者在稅務方面的落差，大概將近10至20%，如果以稅的觀點去思考，這些科技大老們當然會想當外國人。根據台灣現行法規，無論薪資董監酬勞或是股利都得課稅，最高稅率40%，相較之下，新加坡則直接少課一半，對於當地的產業發展，條件相對誘人，再加上新加坡不課海外所得稅和遺產稅，如果一年在台灣沒有住滿183天，扣繳稅率只有20%。
一般而言，平時比較沒有在投資股票，或者是不從事營利事業投資的人，其實是不太需要做出移籍的考量，但科技富豪可就不同，他們的高額股利的確是台灣主要稅收來源之一，以鴻海郭台銘為例，估計每年上繳國庫60億，堪稱是繳稅大戶，一旦科技新貴們入籍新加坡，國內稅收短少不說，人才出走才是最大的問題。
對於台灣留不住人才，勞委會認為是薪資偏低所造成，但面對新加坡積極用高規格待遇向台灣高科技人才招手，據平面媒體報導，上禮拜就有半導體大老闆到新加坡移民局面試，最快兩三個月就會核准，如果相關單位再不快一點重視人力外移現象，台灣有錢人放棄國籍未來勢必蔚為風潮。(新聞來源：東森新聞)
讀者迴響"
,聯發科 財經,跌破眼鏡！聯發科併晨星- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20120623000003-260202,2012年6月23日,"如果您看到這個頁面，表示您的網路已遭到停止訪問本網站的權利。
本站基於資訊安全以及保護網站內容價值等因素，對於使用未經認證之機器人、爬蟲程式等非自然人為訪問行為，給予停止訪問的權限。
當您的網路遭到停止訪問本網站的權利時，您將無法訪問本網站。
請您將網路環境內非人為訪問本網站的行為停止後，把以下阻擋連線資訊記錄起來並提供聯絡資訊與我們客服連絡，向我們提出解除訪問限制。
另若您有業務需求，需認證爬蟲使用非人為方式訪問本網站，也請您跟我們客服連絡，我們將會有業務窗口向您説明解除事宜。
客服信箱：[email protected]"
,聯發科 財經,聯發科併購晨星逾4成股權　震撼IC設計業,https://finance.ettoday.net/news/64110,2012年6月22日,"▲聯發科董事長蔡明介與晨星董事長梁公偉親自出席記者會說明。
財經中心／綜合報導
國內兩大IC設計廠聯發科與晨星從競爭對手變夥伴，震撼IC產業！聯發科與F-晨星22日下午同時召開記者會宣布，聯發科將收購F-晨星最低2.12億股，即F-晨星4成股權，最高收購F-晨星2.54億股，約F-晨星48%股權，以今日股價計算，溢價約20%，預計作業完成時間為2013年初。
聯發科董事長蔡明介與晨星董事長梁公偉親自出席。蔡明介指出，收購晨星股權，主要是順應「大者恆大」的產業趨勢，決定收購晨星股份，希望雙方結合各自競爭優勢，提升聯發科競爭力。
▲聯發科將以現金搭配股票的作法，至少公開收購晨星40%股權。
蔡明介表示，將收購晨星2.12億至2.54億股，相當於晨星40%至48%股權；將以0.794股聯發科股票及現金新台幣1元，收購1股晨星股份；若以聯發科今天收盤價274元計，F-晨星每股收購價約218.55元，較F-晨星今天收盤價182.5元高出36.05元。
聯發科表示，收購晨星股份期間自6月25日到8月13日止。因應收購晨星股份，聯發科將辦理增資發行新股1.68億至2.01億股。聯發科表示，在這次公開收購完成，且所有相關法律程序完備後，聯發科預計進一步合併F-晨星，並在經雙方董事會及股東臨時會通過後，完成後續的合併作業，預計作業完成時間約2013年初。
讀者迴響"
,聯發科 財經,聯發科砸1150億元 併購F-晨星,https://www.moneyweekly.com.tw/Magazine/Info/%E7%90%86%E8%B2%A1%E5%91%A8%E5%88%8A/18727,2012年6月22日,聯發科董事長蔡明介終於出手，這回選擇併購死對頭晨星半導體，也對台灣IC設計產業投下震撼彈。IC設計大小M戰爭將畫下句點！隨著聯發科(2454)規劃兩階段併購F-晨星(3697)，兩家公司充滿煙硝味的競爭將告落幕。對此，聯發科董事長蔡明介表示，由於兩家公司在無線通訊與智慧家庭均為領導廠商，隨著市場逐漸走向整合發展，企業透過購併結合雙方長處，更能創造雙贏。而這也是聯發科繼去(2011)年併購雷凌後，再次以購併的方式買下競爭對手，並取得研發技術專利。而F-晨星被聯發科併購後，將成為消滅公司，早前，F-晨星董事長梁公偉對於產業未來變化，即表示IC設計產業受到市場重疊性愈來愈高的影響，勢必將出現產業淘汰賽，整併風潮也將隨之而來，公司若要維持成長，併購、整合或是跨入新領域，將是晨星可能的方向。言猶在耳，當聯發科再度以市值優勢向外擴張時，晨星自然趁公司營運看好的情況下，以極優渥的價格加入靡下。由此也可窺知，蔡明介、梁公偉雙雄，對於產業動態與後市有著極為相近的看法，也難怪雙方對於併購案能夠一拍即合。如同617期《理財周刊》所揭露，F-晨星的存在已然對聯發科的龍頭地位產生影響，而從近期外資拚命看好F-晨星，似乎也可嗅出F-晨星將傳出重大利多消息，果然，聯發科計畫砸1150億元併購F-晨星，1股晨星將換發0.794股聯發科，再加1元現金股利，若以今(22)日雙方收盤價計算，則F-晨星股價將有19％的溢價空間。為何聯發科要併購晨星？晨星又為何願意賣給聯發科？其實，大M（聯發科）及小M（晨星）在行動裝置市場當紅的現在，都面臨了同樣的危機，就是找不到可以繼續推動企業成長的長期動能。智慧型手機及平板電腦等行動裝置已是未來幾年主流產品，但放眼晶片生產鏈，3G/4G基頻晶片市場被高通（Qualcomm）全拿，ARM架構處理器是輝達（NVIDIA）的天下，儲存裝置控制IC龍頭美滿（Marvell）已是全球獨大，無線網路晶片則是博通（Broadcom）通吃。在此一市場競局下，聯發科及晨星連一點滲透性都沒有，若再持續在光儲存（ODD）、數位電視、2G手機等市場守成，將會被市場邊緣化，尤其過去大M及小M依賴最深的中國大陸市場，已經開始走向國際舞台，與高通、輝達、博通等國際晶片大廠接軌。由此來看，聯發科及晨星若再單兵作戰，不但很難與蘋果、三星等國際系統大廠合作，也可能會因兩家業者的內部矛盾及相互廝殺，將市場再度拱手讓人。走上合併雖然不一定是正確的道路，但至才已有了新的機會，能以同等規模，與國際晶片大廠一較高下。雖然隨著併購F-晨星將成為消滅公司，原本「小弟篡老大位」的戲碼演成了握手言和，令人始料未及。就投資角度而言，投資人在併購完成前，可買進F-晨星搶賺溢價幅度。
,聯發科 財經,聯發科砸1140億元併晨星- 焦點要聞- 中國時報,https://www.chinatimes.com/newspapers/20120623000462-260102,2012年6月23日,"如果您看到這個頁面，表示您的網路已遭到停止訪問本網站的權利。
本站基於資訊安全以及保護網站內容價值等因素，對於使用未經認證之機器人、爬蟲程式等非自然人為訪問行為，給予停止訪問的權限。
當您的網路遭到停止訪問本網站的權利時，您將無法訪問本網站。
請您將網路環境內非人為訪問本網站的行為停止後，把以下阻擋連線資訊記錄起來並提供聯絡資訊與我們客服連絡，向我們提出解除訪問限制。
另若您有業務需求，需認證爬蟲使用非人為方式訪問本網站，也請您跟我們客服連絡，我們將會有業務窗口向您説明解除事宜。
客服信箱：[email protected]"
