Feature1,Feature2,Feature3,Cluster
0.38181874,-0.056685925,0.42737275,0
0.39404377,-0.046968415,0.41451138,0
0.383706,-0.059471264,0.4063707,0
0.37820128,-0.065524615,0.39942163,0
0.38362357,-0.067833535,0.39637738,0
0.3930644,-0.06656748,0.39245933,0
0.3958741,-0.054938555,0.3787533,0
0.39758155,-0.04105699,0.36908543,0
0.40538296,-0.0364248,0.35429597,0
0.4208766,-0.016370855,0.34521294,0
0.42184815,-0.022763543,0.33549407,0
0.42492917,-0.040213116,0.32591587,0
0.4285111,-0.055976614,0.32072237,0
0.4298661,-0.0548741,0.31554347,0
0.4216232,-0.06020107,0.31150204,0
0.41957793,-0.06437074,0.30520648,0
0.42990336,-0.046185784,0.29710215,0
0.44264522,-0.015954368,0.28859293,0
0.4418627,0.00840392,0.27205288,0
0.43989468,0.018758334,0.26533955,0
0.4322079,0.021928899,0.26158512,0
0.4138278,-0.0053610727,0.26298028,0
0.4003023,-0.048361115,0.26608557,0
0.39039308,-0.0879442,0.26583165,2
0.38814142,-0.121115245,0.27340126,2
0.3852816,-0.14547169,0.2808622,2
0.39837018,-0.1493411,0.3000724,2
0.412881,-0.13086697,0.3134966,2
0.43512952,-0.11556896,0.32048655,0
0.44399112,-0.11382716,0.3244303,0
0.46173367,-0.10104979,0.32950926,0
0.46331534,-0.10085751,0.33339024,0
0.46078897,-0.0961297,0.33637303,0
0.46368808,-0.093007505,0.34033734,0
0.47304252,-0.08421867,0.34757882,0
0.47874537,-0.09273009,0.3470164,0
0.48520508,-0.094892666,0.3553468,0
0.49528947,-0.08741294,0.36193436,0
0.4968445,-0.092872635,0.3720206,0
0.50101626,-0.07914917,0.37029666,0
0.5012319,-0.072350696,0.36668855,0
0.5106919,-0.062228657,0.36656052,0
0.519296,-0.047984965,0.36155295,0
0.52317286,-0.04177495,0.35749948,0
0.52526844,-0.019064717,0.35133713,0
0.5144393,-0.013402455,0.3376628,0
0.50798666,-0.00014319271,0.32913977,0
0.50043076,0.011487566,0.3193097,0
0.48904827,-0.0048512444,0.30586106,0
0.49084225,-0.006285958,0.307177,0
0.48296037,-0.025524668,0.31011868,0
0.47594377,-0.045101203,0.3162849,0
0.46769628,-0.052089803,0.32476223,0
0.45906907,-0.05542063,0.32875288,0
0.46330473,-0.054066017,0.33988163,0
0.470983,-0.05105553,0.3423754,0
0.47783354,-0.035942264,0.3466832,0
0.4853113,-0.022702686,0.3489055,0
0.4800438,-0.028503574,0.35216206,0
0.48227736,-0.051521935,0.35142553,0
0.48588488,-0.0856825,0.36068606,0
0.4853994,-0.13413632,0.36434633,0
0.49484113,-0.15879047,0.37545562,0
0.5115299,-0.13744596,0.3844067,0
0.5198981,-0.101966314,0.38811135,0
0.5335461,-0.0483054,0.385597,0
0.55492294,0.013753019,0.38074,0
0.5687321,0.07010216,0.37023538,0
0.58065826,0.12515235,0.3611623,0
0.57388157,0.13842694,0.3465227,0
0.5547286,0.12451281,0.33995807,0
0.53237134,0.113463864,0.3346631,0
0.5041738,0.09705608,0.32771468,0
0.49182191,0.10167284,0.32530499,0
0.4786798,0.10974824,0.3221236,0
0.47664383,0.12344002,0.31484786,0
0.46256265,0.09153612,0.30627334,0
0.45441338,0.06382636,0.3086068,0
0.43689635,0.021256037,0.3032145,0
0.41935706,-0.046293244,0.30273086,0
0.39612213,-0.1119786,0.2997275,2
0.39656812,-0.12821203,0.31199276,2
0.40939137,-0.12656257,0.32524207,0
0.43163958,-0.10035812,0.3288397,0
0.4451081,-0.06427362,0.31971854,0
0.469965,-0.019503482,0.31287116,0
0.4608994,0.0055486336,0.28798443,0
0.460304,0.05335892,0.26701134,0
0.44568047,0.109786086,0.24302173,0
0.4174303,0.14296243,0.21486658,0
0.3947186,0.15246803,0.192888,0
0.3660548,0.11963821,0.17947458,0
0.3197969,0.04728196,0.15770617,2
0.27050763,-0.06260026,0.12789561,2
0.22479796,-0.17250669,0.12414561,2
0.19610263,-0.2513828,0.14087686,2
0.20388359,-0.27233216,0.1683163,2
0.23517647,-0.25279775,0.21366726,2
0.28189903,-0.18645167,0.24816157,2
0.3122411,-0.14450547,0.25641268,2
0.32611203,-0.13337922,0.26818585,2
0.33278558,-0.14755964,0.27052027,2
0.34170464,-0.155559,0.264892,2
0.34164008,-0.17967898,0.26688868,2
0.3376322,-0.17850336,0.2771203,2
0.3423371,-0.15726301,0.2868334,2
0.35435793,-0.14702502,0.2897663,2
0.37186205,-0.113320746,0.29722834,2
0.39377204,-0.0835797,0.30355597,0
0.40059224,-0.06511245,0.29990137,0
0.39175636,-0.09461355,0.29208505,2
0.38766706,-0.12742439,0.29789597,2
0.39543244,-0.15325454,0.29975358,2
0.3953327,-0.17949438,0.30197096,2
0.40758705,-0.18286806,0.30854872,2
0.41819525,-0.18406934,0.31561044,2
0.41941613,-0.1815894,0.3231621,2
0.43612555,-0.1533638,0.33997047,0
0.44713423,-0.12440983,0.33644688,0
0.45813623,-0.09201283,0.3223297,0
0.44876325,-0.08552527,0.30473256,0
0.439208,-0.07647308,0.29619777,0
0.43082622,-0.08582747,0.2982285,0
0.4325432,-0.09210696,0.29903775,0
0.43029717,-0.12012897,0.30133086,2
0.42896584,-0.13910657,0.3064651,2
0.423117,-0.14975524,0.30775744,2
0.41978338,-0.13771197,0.31603074,2
0.4266562,-0.09340756,0.32475978,0
0.4349795,-0.059435032,0.32007706,0
0.43621418,-0.02413746,0.3057497,0
0.4376201,0.019914784,0.29744166,0
0.4299023,0.04929968,0.28604686,0
0.41088855,0.046219945,0.27407637,0
0.389922,0.036026634,0.27389538,0
0.36512017,0.028867587,0.28951108,0
0.34649608,0.006014101,0.2928338,0
0.3271189,-0.010668494,0.2975151,0
0.3287061,-0.018965624,0.305363,0
0.31084183,-0.046250373,0.30751628,0
0.31680632,-0.04426471,0.32130283,0
0.3137626,-0.048694156,0.32129243,0
0.33193228,-0.035456643,0.32711893,0
0.3243987,-0.043010198,0.32597303,0
0.33042485,-0.043204315,0.33870536,0
0.32767433,-0.04132446,0.33777004,0
0.33337048,-0.037172034,0.3423251,0
0.34095725,-0.04004909,0.34335822,0
0.3464118,-0.04158651,0.34661746,0
0.34324285,-0.035570137,0.34483102,0
0.35279205,-0.026827037,0.33786154,0
0.35603365,-0.024095103,0.32719886,0
0.3662624,-0.030641153,0.3279581,0
0.36881337,-0.0406861,0.32505375,0
0.3645505,-0.056390606,0.31580463,0
0.370787,-0.061177395,0.30702484,0
0.37937886,-0.051790483,0.29198915,0
0.37911347,-0.044703625,0.2829617,0
0.37461963,-0.050813116,0.27017176,2
0.38102028,-0.058804236,0.26359725,2
0.3796846,-0.073693395,0.25835335,2
0.3733677,-0.08637333,0.254941,2
0.3560942,-0.11937446,0.2439426,2
0.34888864,-0.13776693,0.25133646,2
0.35013512,-0.13562572,0.2643629,2
0.35266504,-0.13194448,0.2738142,2
0.36366877,-0.118926786,0.28230464,2
0.37427258,-0.09578275,0.28465563,2
0.3681224,-0.0670291,0.2817583,2
0.3614179,-0.027199961,0.27584416,0
0.35414547,-0.0001866743,0.26786697,0
0.3518916,0.04331238,0.26680505,0
0.34238437,0.07589417,0.25966686,0
0.31199402,0.031225003,0.25242132,0
0.28365955,-0.027133934,0.24932757,2
0.24717996,-0.08904991,0.24272576,2
0.21661821,-0.1567989,0.24225216,2
0.21192409,-0.19317499,0.26565465,2
0.2334015,-0.18567342,0.29747307,2
0.25666925,-0.14692232,0.32289177,2
0.26446477,-0.062453166,0.34366933,0
0.29041383,0.0034484342,0.3265468,0
0.30286294,0.06675456,0.31128347,0
0.2843829,0.11932755,0.29240185,0
0.25725678,0.15602109,0.27431595,0
0.21362303,0.18413702,0.24114873,0
0.15032546,0.233204,0.19225878,0
0.088779405,0.22142929,0.17508432,0
0.026119025,0.19417131,0.15549165,2
-0.010947583,0.099778265,0.15751266,2
-0.036474682,0.0064291432,0.1515168,2
-0.07562361,-0.12303243,0.1542972,2
-0.113962986,-0.23703367,0.15894824,2
-0.11269111,-0.25583866,0.20711222,2
-0.08081318,-0.22218132,0.26782602,2
-0.030642016,-0.0980602,0.3257966,2
-0.000690287,0.02417899,0.34941792,0
0.026511366,0.14078693,0.37063605,0
0.00602098,0.21324283,0.36666876,0
-0.022602698,0.24152109,0.35287362,0
-0.03661994,0.2030009,0.32207108,0
-0.0887525,0.12386044,0.28245515,0
-0.121918686,-0.014340244,0.27761698,2
-0.1561254,-0.17755154,0.28236634,2
-0.17151321,-0.34705716,0.3185222,2
-0.14959145,-0.4713645,0.37527943,2
-0.10379333,-0.5309249,0.43349504,2
-0.024421817,-0.4726367,0.51380306,2
0.063254364,-0.3644121,0.5875659,2
0.16085422,-0.20131686,0.65941703,0
0.22889864,-0.08835576,0.6829339,0
0.2857377,0.013131596,0.66676986,0
0.3004958,0.07466047,0.61766326,0
0.28742692,0.074642114,0.557481,0
0.26623324,0.050809287,0.5271326,0
0.24545243,0.019274853,0.5311675,0
0.22866571,-0.042314194,0.528526,0
0.21818443,-0.10910881,0.54077435,0
0.20505187,-0.17136514,0.52387685,0
0.21842898,-0.1581519,0.5468634,0
0.22905725,-0.1221224,0.58129877,0
0.2620569,-0.04766114,0.61967707,0
0.3019038,0.013018705,0.62265754,0
0.30916876,0.04195852,0.61164373,0
0.3003133,0.045897655,0.5893816,0
0.28397715,0.047385626,0.5538088,0
0.26045802,0.019279353,0.5243685,0
0.2400296,0.007886656,0.51994795,0
0.22639668,-0.002776526,0.5336175,0
0.22145791,-0.024380319,0.55891794,0
0.21548297,-0.07055298,0.5732163,0
0.21645023,-0.1232534,0.5854067,0
0.21994366,-0.16312605,0.5835806,0
0.22908172,-0.16500306,0.60581756,0
0.2549211,-0.16856435,0.6234417,0
0.29580852,-0.12066483,0.6599085,0
0.32754412,-0.08954164,0.6619665,0
0.36507633,-0.044460997,0.66032815,0
0.38947162,-0.020567529,0.63720715,0
0.40224048,-0.028920837,0.6289224,0
0.41589987,-0.05090215,0.61799395,0
0.42687818,-0.078542,0.6340218,0
0.44933322,-0.10719199,0.63611144,0
0.47768953,-0.11640956,0.6404022,0
0.49129978,-0.14290634,0.6449962,0
0.52732736,-0.17093131,0.65741676,0
0.5669192,-0.17860088,0.66463923,0
0.6211549,-0.12308773,0.674642,0
0.6783829,-0.0513011,0.6656468,0
0.72119933,0.013876103,0.6606872,0
0.74693847,0.06647635,0.6398331,0
0.76390195,0.12034478,0.6131746,0
0.7705142,0.18524146,0.5828187,0
0.7812462,0.23955896,0.55496734,0
0.7814419,0.26548484,0.54408056,0
0.7462731,0.25081652,0.5169977,0
0.71578276,0.23034137,0.50279015,0
0.7030456,0.21330494,0.49863023,0
0.6873513,0.20438296,0.48548573,0
0.66626835,0.20703757,0.47709966,0
0.64301455,0.21250802,0.47018826,0
0.63562244,0.24558336,0.45170134,0
0.65122765,0.30323175,0.4616294,0
0.6384136,0.32957166,0.4378751,0
0.6109586,0.31279457,0.4195873,0
0.59367037,0.28055406,0.42487735,0
0.56656873,0.23289505,0.43549436,0
0.53646004,0.14628544,0.44692296,0
0.5176827,0.09130845,0.47091234,0
