new_index,nearest_index,distance,reference_date,infer_date
0,2551,18.6793061111309,2021-03-29,2024-12-03
1,2551,18.261052002343583,2021-03-29,2024-12-04
2,2302,16.371082243730324,2020-03-20,2024-12-05
3,2300,14.28411882827227,2020-03-18,2024-12-06
4,2299,11.149169159873136,2020-03-17,2024-12-09
5,1940,8.082419876546275,2018-09-11,2024-12-10
6,2297,6.2049107888243284,2020-03-13,2024-12-11
7,1445,5.0280789486978135,2016-09-06,2024-12-12
8,1840,3.5888410712956964,2018-04-20,2024-12-13
9,1831,2.4876633670170416,2018-04-09,2024-12-16
10,1201,1.6801613991491662,2015-09-07,2024-12-17
11,383,2.5445149183553983,2012-05-17,2024-12-18
12,396,3.54223770250149,2012-06-05,2024-12-19
13,396,5.5241337410386135,2012-06-05,2024-12-20
14,190,7.1597721420683165,2011-08-05,2024-12-23
15,190,7.277515005176218,2011-08-05,2024-12-24
16,190,7.1380806083087895,2011-08-05,2024-12-25
17,396,5.766824012892191,2012-06-05,2024-12-26
18,396,3.9565309128772816,2012-06-05,2024-12-27
19,373,2.7758820338841734,2012-05-03,2024-12-30
20,952,3.651564860244646,2014-09-02,2024-12-31
21,367,4.395024602939916,2012-04-24,2025-01-02
22,1705,5.474453567952278,2017-09-27,2025-01-03
23,367,5.65847118013083,2012-04-24,2025-01-06
24,2094,3.1736293420376245,2019-05-14,2025-01-07
25,2269,1.1650412436486794,2020-02-03,2025-01-08
26,1923,1.0868083432176825,2018-08-17,2025-01-09
27,1923,1.2968295188038983,2018-08-17,2025-01-10
28,581,1.4736001382789976,2013-03-05,2025-01-13
29,565,1.151495854006767,2013-01-31,2025-01-14
30,1053,1.2901502829997347,2015-01-26,2025-01-15
31,1198,1.146371986099325,2015-09-02,2025-01-16
32,631,1.4172148236897837,2013-05-17,2025-01-17
33,633,2.302149679007803,2013-05-21,2025-01-20
34,632,2.706489930456617,2013-05-20,2025-01-21
35,626,2.8299107407898436,2013-05-10,2025-01-22
36,627,2.2334820319286415,2013-05-13,2025-02-03
37,1900,2.1766777499340058,2018-07-17,2025-02-04
38,598,1.8737877278530217,2013-03-28,2025-02-05
39,408,1.3857315466419993,2012-06-21,2025-02-06
40,1199,1.1771925807545505,2015-09-03,2025-02-07
41,411,1.0622423308217894,2012-06-26,2025-02-10
42,1199,1.4151131851018282,2015-09-03,2025-02-11
43,997,1.0447947846687957,2014-11-06,2025-02-12
44,998,1.2868474328250992,2014-11-07,2025-02-13
45,998,1.440441242119751,2014-11-07,2025-02-14
46,907,1.739068524364676,2014-06-30,2025-02-17
47,907,2.1025814845872954,2014-06-30,2025-02-18
48,898,2.0507790196115994,2014-06-17,2025-02-19
49,2499,1.2755710541369418,2021-01-04,2025-02-20
50,305,1.32852768132392,2012-01-17,2025-02-21
51,259,1.7715983230113876,2011-11-14,2025-02-24
52,627,2.049929071598481,2013-05-13,2025-02-25
53,627,2.019703598364242,2013-05-13,2025-02-26
54,627,1.845376352518305,2013-05-13,2025-02-27
