成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,day_index,predicted_close_price
52170124.00,10312565760.00,198.50,200.00,196.50,196.50,0.50,47992.00,196.00,206.30,198.14,202.77,175.68,197.28,203.03,40.57,-2.64,-0.80,-1.85,175.68,206.30,1,146.94
50379504.00,10055269376.00,197.50,201.50,197.00,201.00,4.50,32459.00,196.90,205.68,198.50,203.26,176.17,198.52,202.83,47.02,-2.43,-1.12,-1.31,176.17,205.68,2,143.99
46475440.00,9319676928.00,203.00,203.50,199.00,199.00,-2.00,47064.00,197.60,204.78,198.90,203.70,176.66,198.68,202.47,44.70,-2.40,-1.38,-1.02,176.66,204.78,3,145.54
47526532.00,9465076736.00,199.50,201.50,197.50,198.00,-1.00,36972.00,198.10,203.78,199.26,204.06,177.14,198.45,202.04,43.54,-2.43,-1.59,-0.84,177.14,204.06,4,145.29
41114304.00,8084425728.00,198.50,199.00,195.00,195.00,-3.00,55012.00,197.90,202.52,199.64,204.30,177.61,197.30,201.37,40.18,-2.66,-1.80,-0.86,177.61,204.30,5,146.01
50379504.00,10055269376.00,197.50,201.50,197.00,201.00,4.50,32459.00,196.90,205.68,198.50,203.26,176.17,198.52,202.83,47.02,-2.43,-1.12,-1.31,176.17,205.68,1,146.58
46475440.00,9319676928.00,203.00,203.50,199.00,199.00,-2.00,47064.00,197.60,204.78,198.90,203.70,176.66,198.68,202.47,44.70,-2.40,-1.38,-1.02,176.66,204.78,2,143.66
47526532.00,9465076736.00,199.50,201.50,197.50,198.00,-1.00,36972.00,198.10,203.78,199.26,204.06,177.14,198.45,202.04,43.54,-2.43,-1.59,-0.84,177.14,204.06,3,145.18
41114304.00,8084425728.00,198.50,199.00,195.00,195.00,-3.00,55012.00,197.90,202.52,199.64,204.30,177.61,197.30,201.37,40.18,-2.66,-1.80,-0.86,177.61,204.30,4,144.97
58994152.00,11375383552.00,193.00,195.00,192.00,192.00,-3.00,73633.00,197.00,201.42,200.02,204.37,178.06,195.54,200.48,37.09,-3.05,-2.05,-1.00,178.06,204.37,5,145.63
46475440.00,9319676928.00,203.00,203.50,199.00,199.00,-2.00,47064.00,197.60,204.78,198.90,203.70,176.66,198.68,202.47,44.70,-2.40,-1.38,-1.02,176.66,204.78,1,146.09
47526532.00,9465076736.00,199.50,201.50,197.50,198.00,-1.00,36972.00,198.10,203.78,199.26,204.06,177.14,198.45,202.04,43.54,-2.43,-1.59,-0.84,177.14,204.06,2,143.23
41114304.00,8084425728.00,198.50,199.00,195.00,195.00,-3.00,55012.00,197.90,202.52,199.64,204.30,177.61,197.30,201.37,40.18,-2.66,-1.80,-0.86,177.61,204.30,3,144.71
58994152.00,11375383552.00,193.00,195.00,192.00,192.00,-3.00,73633.00,197.00,201.42,200.02,204.37,178.06,195.54,200.48,37.09,-3.05,-2.05,-1.00,178.06,204.37,4,144.52
66246732.00,12596425728.00,190.00,194.00,189.00,189.00,-3.00,86964.00,194.60,200.15,200.35,204.36,178.49,193.36,199.39,34.26,-3.56,-2.35,-1.21,178.49,204.36,5,145.13
47526532.00,9465076736.00,199.50,201.50,197.50,198.00,-1.00,36972.00,198.10,203.78,199.26,204.06,177.14,198.45,202.04,43.54,-2.43,-1.59,-0.84,177.14,204.06,1,145.82
41114304.00,8084425728.00,198.50,199.00,195.00,195.00,-3.00,55012.00,197.90,202.52,199.64,204.30,177.61,197.30,201.37,40.18,-2.66,-1.80,-0.86,177.61,204.30,2,143.01
58994152.00,11375383552.00,193.00,195.00,192.00,192.00,-3.00,73633.00,197.00,201.42,200.02,204.37,178.06,195.54,200.48,37.09,-3.05,-2.05,-1.00,178.06,204.37,3,144.45
66246732.00,12596425728.00,190.00,194.00,189.00,189.00,-3.00,86964.00,194.60,200.15,200.35,204.36,178.49,193.36,199.39,34.26,-3.56,-2.35,-1.21,178.49,204.36,4,144.29
50634756.00,9624979456.00,190.50,193.00,188.50,188.50,-0.50,51432.00,192.50,199.00,200.53,204.31,178.92,191.74,198.35,33.79,-3.96,-2.68,-1.29,178.92,204.31,5,144.85
41114304.00,8084425728.00,198.50,199.00,195.00,195.00,-3.00,55012.00,197.90,202.52,199.64,204.30,177.61,197.30,201.37,40.18,-2.66,-1.80,-0.86,177.61,204.30,1,145.33
58994152.00,11375383552.00,193.00,195.00,192.00,192.00,-3.00,73633.00,197.00,201.42,200.02,204.37,178.06,195.54,200.48,37.09,-3.05,-2.05,-1.00,178.06,204.37,2,142.60
66246732.00,12596425728.00,190.00,194.00,189.00,189.00,-3.00,86964.00,194.60,200.15,200.35,204.36,178.49,193.36,199.39,34.26,-3.56,-2.35,-1.21,178.49,204.36,3,143.99
50634756.00,9624979456.00,190.50,193.00,188.50,188.50,-0.50,51432.00,192.50,199.00,200.53,204.31,178.92,191.74,198.35,33.79,-3.96,-2.68,-1.29,178.92,204.31,4,143.84
55417048.00,10371852288.00,188.50,189.50,185.50,186.50,-2.00,78777.00,190.20,197.98,200.71,204.29,179.34,189.99,197.22,31.93,-4.39,-3.02,-1.37,179.34,204.29,5,144.35
58994152.00,11375383552.00,193.00,195.00,192.00,192.00,-3.00,73633.00,197.00,201.42,200.02,204.37,178.06,195.54,200.48,37.09,-3.05,-2.05,-1.00,178.06,204.37,1,144.68
66246732.00,12596425728.00,190.00,194.00,189.00,189.00,-3.00,86964.00,194.60,200.15,200.35,204.36,178.49,193.36,199.39,34.26,-3.56,-2.35,-1.21,178.49,204.36,2,142.02
50634756.00,9624979456.00,190.50,193.00,188.50,188.50,-0.50,51432.00,192.50,199.00,200.53,204.31,178.92,191.74,198.35,33.79,-3.96,-2.68,-1.29,178.92,204.31,3,143.36
55417048.00,10371852288.00,188.50,189.50,185.50,186.50,-2.00,78777.00,190.20,197.98,200.71,204.29,179.34,189.99,197.22,31.93,-4.39,-3.02,-1.37,179.34,204.29,4,143.23
75228640.00,13834643456.00,188.00,189.50,181.50,182.00,-4.50,96744.00,187.60,196.95,200.72,204.19,179.73,187.33,195.77,28.18,-5.03,-3.42,-1.61,179.73,204.19,5,143.69
66246732.00,12596425728.00,190.00,194.00,189.00,189.00,-3.00,86964.00,194.60,200.15,200.35,204.36,178.49,193.36,199.39,34.26,-3.56,-2.35,-1.21,178.49,204.36,1,144.45
50634756.00,9624979456.00,190.50,193.00,188.50,188.50,-0.50,51432.00,192.50,199.00,200.53,204.31,178.92,191.74,198.35,33.79,-3.96,-2.68,-1.29,178.92,204.31,2,141.84
55417048.00,10371852288.00,188.50,189.50,185.50,186.50,-2.00,78777.00,190.20,197.98,200.71,204.29,179.34,189.99,197.22,31.93,-4.39,-3.02,-1.37,179.34,204.29,3,143.14
75228640.00,13834643456.00,188.00,189.50,181.50,182.00,-4.50,96744.00,187.60,196.95,200.72,204.19,179.73,187.33,195.77,28.18,-5.03,-3.42,-1.61,179.73,204.19,4,143.04
