new_index,nearest_index,distance,reference_date,infer_date
0,1102,0.416581788954001,2015-04-16,2010-10-21
1,978,0.5074375111915066,2014-10-09,2010-10-22
2,1102,0.42782999140607303,2015-04-16,2010-10-25
3,978,0.6006589147159638,2014-10-09,2010-10-26
4,1102,0.5006150055073781,2015-04-16,2010-10-27
5,978,0.6061752622769049,2014-10-09,2010-10-28
6,978,0.7070498827610947,2014-10-09,2010-10-29
7,979,0.5891268923471217,2014-10-13,2010-11-01
8,1102,0.5184669939008167,2015-04-16,2010-11-02
9,979,0.5675627681801535,2014-10-13,2010-11-03
10,1102,0.556611202776999,2015-04-16,2010-11-04
11,979,0.5999314173883123,2014-10-13,2010-11-05
12,1102,0.5250408903403821,2015-04-16,2010-11-08
13,978,0.5794595923897161,2014-10-09,2010-11-09
14,978,0.6741007310746672,2014-10-09,2010-11-10
15,979,0.6009776680213028,2014-10-13,2010-11-11
16,979,0.5837170750723024,2014-10-13,2010-11-12
17,978,0.6344103331256015,2014-10-09,2010-11-15
18,989,0.7326646562473376,2014-10-27,2010-11-16
19,978,0.8128093303523436,2014-10-09,2010-11-17
20,979,0.8333054040769637,2014-10-13,2010-11-18
21,979,0.8054600051538128,2014-10-13,2010-11-19
22,979,0.8598989647908887,2014-10-13,2010-11-22
23,979,0.8403928711698853,2014-10-13,2010-11-23
24,979,0.7827193406569501,2014-10-13,2010-11-24
25,979,0.8438909508448759,2014-10-13,2010-11-25
26,979,0.8982040012785718,2014-10-13,2010-11-26
27,993,1.3414226956566555,2014-10-31,2010-11-29
28,989,0.9960534446137603,2014-10-27,2010-11-30
29,990,0.9097997096061478,2014-10-28,2010-12-01
30,989,1.5488509306490517,2014-10-27,2010-12-02
31,989,1.9314571014504425,2014-10-27,2010-12-03
32,989,1.1516373331821945,2014-10-27,2010-12-06
33,2439,2.259265657149804,2020-09-28,2010-12-07
34,2439,2.274733663825592,2020-09-28,2010-12-08
35,2950,2.229962407727235,2022-10-31,2010-12-09
36,989,2.081364546286967,2014-10-27,2010-12-10
37,2429,2.255293948798899,2020-09-14,2010-12-13
38,2429,2.1789088722303376,2020-09-14,2010-12-14
39,2429,2.2206212190802987,2020-09-14,2010-12-15
40,2429,2.141873119507072,2020-09-14,2010-12-16
41,2429,2.1394027078998046,2020-09-14,2010-12-17
42,2950,2.1119351156444726,2022-10-31,2010-12-20
43,988,1.5671321030136551,2014-10-24,2010-12-21
44,2950,1.8001246777531783,2022-10-31,2010-12-22
45,988,1.4167648321141664,2014-10-24,2010-12-23
46,988,1.2778349755885425,2014-10-24,2010-12-24
47,2950,1.7408786798940865,2022-10-31,2010-12-27
48,988,1.4557352292754167,2014-10-24,2010-12-28
49,978,1.7478636799935752,2014-10-09,2010-12-29
50,2950,1.7631648993179994,2022-10-31,2010-12-30
51,989,1.18304705127539,2014-10-27,2010-12-31
52,979,0.7534839284251741,2014-10-13,2011-01-03
53,979,0.6393760563982199,2014-10-13,2011-01-04
54,988,1.0626670362253945,2014-10-24,2011-01-05
55,988,1.3597575463916727,2014-10-24,2011-01-06
56,989,1.0463988127677806,2014-10-27,2011-01-07
57,989,0.9603991118756277,2014-10-27,2011-01-10
58,979,0.8217190072025836,2014-10-13,2011-01-11
59,989,0.9462687076576125,2014-10-27,2011-01-12
60,989,0.9440409009331792,2014-10-27,2011-01-13
61,979,0.8517956054693857,2014-10-13,2011-01-14
62,979,0.7859815803194499,2014-10-13,2011-01-17
63,979,0.8074175278513144,2014-10-13,2011-01-18
64,979,0.8636788503767705,2014-10-13,2011-01-19
65,989,0.9355189769448515,2014-10-27,2011-01-20
66,989,1.0137060511509843,2014-10-27,2011-01-21
67,979,0.8018939699106679,2014-10-13,2011-01-24
68,68,0.7613017748230378,2011-02-09,2011-01-25
69,2303,0.5328932309981282,2020-03-13,2011-01-26
70,979,0.5152748785078076,2014-10-13,2011-01-27
