成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,day_index,predicted_close_price
40237460.00,2458712064.00,61.30,61.40,60.80,61.00,0.00,7376.00,61.02,61.28,60.72,60.51,60.91,61.02,61.13,49.45,0.08,0.19,-0.11,60.51,61.28,1,79.91
42971488.00,2646457344.00,61.70,61.80,61.40,61.80,0.80,9208.00,61.00,61.36,60.70,60.55,60.89,61.28,61.19,55.60,0.12,0.18,-0.05,60.55,61.36,2,80.17
38700364.00,2398664960.00,62.00,62.20,61.80,62.00,0.20,10753.00,61.30,61.43,60.69,60.58,60.88,61.52,61.27,57.01,0.18,0.18,-0.00,60.58,61.43,3,76.79
37964024.00,2359307008.00,62.20,62.30,62.00,62.30,0.30,9725.00,61.62,61.50,60.69,60.62,60.87,61.78,61.37,59.11,0.24,0.19,0.05,60.62,61.50,4,81.86
28106224.00,1747861888.00,62.30,62.40,61.90,62.00,-0.30,6328.00,61.82,61.52,60.69,60.67,60.86,61.85,61.43,56.16,0.26,0.20,0.06,60.67,61.52,5,90.56
42971488.00,2646457344.00,61.70,61.80,61.40,61.80,0.80,9208.00,61.00,61.36,60.70,60.55,60.89,61.28,61.19,55.60,0.12,0.18,-0.05,60.55,61.36,1,79.80
38700364.00,2398664960.00,62.00,62.20,61.80,62.00,0.20,10753.00,61.30,61.43,60.69,60.58,60.88,61.52,61.27,57.01,0.18,0.18,-0.00,60.58,61.43,2,80.10
37964024.00,2359307008.00,62.20,62.30,62.00,62.30,0.30,9725.00,61.62,61.50,60.69,60.62,60.87,61.78,61.37,59.11,0.24,0.19,0.05,60.62,61.50,3,76.85
28106224.00,1747861888.00,62.30,62.40,61.90,62.00,-0.30,6328.00,61.82,61.52,60.69,60.67,60.86,61.85,61.43,56.16,0.26,0.20,0.06,60.67,61.52,4,81.82
62152024.00,3887832064.00,62.40,63.00,62.10,62.70,0.70,13925.00,62.16,61.56,60.70,60.73,60.85,62.14,61.55,61.04,0.33,0.23,0.10,60.73,61.56,5,90.45
38700364.00,2398664960.00,62.00,62.20,61.80,62.00,0.20,10753.00,61.30,61.43,60.69,60.58,60.88,61.52,61.27,57.01,0.18,0.18,-0.00,60.58,61.43,1,79.76
37964024.00,2359307008.00,62.20,62.30,62.00,62.30,0.30,9725.00,61.62,61.50,60.69,60.62,60.87,61.78,61.37,59.11,0.24,0.19,0.05,60.62,61.50,2,80.17
