日期,2317_成交股數,2330_成交股數,2454_成交股數,2317_成交金額,2330_成交金額,2454_成交金額,2317_開盤價,2330_開盤價,2454_開盤價,2317_最高價,2330_最高價,2454_最高價,2317_最低價,2330_最低價,2454_最低價,2317_收盤價,2330_收盤價,2454_收盤價,2317_漲跌價差,2330_漲跌價差,2454_漲跌價差,2317_成交筆數,2330_成交筆數,2454_成交筆數,2317_SMA_5,2330_SMA_5,2454_SMA_5,2317_SMA_20,2330_SMA_20,2454_SMA_20,2317_SMA_60,2330_SMA_60,2454_SMA_60,2317_SMA_50,2330_SMA_50,2454_SMA_50,2317_SMA_200,2330_SMA_200,2454_SMA_200,2317_EMA_5,2330_EMA_5,2454_EMA_5,2317_EMA_20,2330_EMA_20,2454_EMA_20,2317_RSI,2330_RSI,2454_RSI,2317_MACD,2330_MACD,2454_MACD,2317_MACD_signal,2330_MACD_signal,2454_MACD_signal,2317_MACD_hist,2330_MACD_hist,2454_MACD_hist,2317_Support_Level,2330_Support_Level,2454_Support_Level,2317_Resistance_Level,2330_Resistance_Level,2454_Resistance_Level
2010-10-21,20697571,40237461,9435865,2347730094,2458712121,3675093620,114,61.3,394,114.5,61.4,395,112.5,60.8,386,113,61,387,-1,0,-5.5,9188,7376,6346,113.6,61.02,385.2,115.825,61.28,415.8,120.491666666667,60.715,442.158333333333,117.92,60.514,442.17,129.94,60.91,496.81,113.598253008467,61.0225362517604,389.029297669546,115.156901495424,61.1269683736675,412.053708607462,42.8884663369572,49.4481482932614,32.8700882379429,-1.06783900663827,0.078878527771138,-18.5458719819103,-0.846742559866308,0.18792895687996,-16.0164877283485,-0.221096446771958,-0.109050429108822,-2.52938425356182,115.825,60.514,415.8,129.94,61.28,496.81
2010-10-22,16111879,42971490,7146883,1833691206,2646457386,2771465394,114.5,61.7,392.5,114.5,61.8,392.5,113,61.4,382.5,114,61.8,387,1,0.8,0,6509,9208,4775,113.2,61,384.6,115.65,61.365,412.85,120.208333333333,60.695,441.491666666667,117.6,60.546,440.73,129.7525,60.8945,495.91,113.732168672311,61.2816908345069,388.35286511303,115.046720400621,61.1910666237944,409.667641121037,45.7514566684981,55.6017800191644,32.8700882379429,-1.03234666312135,0.124749884937572,-18.2204908430667,-0.883863380517316,0.175293142491482,-16.4572883512921,-0.148483282604029,-0.050543257553911,-1.7632024917746,115.65,60.546,412.85,129.7525,61.365,495.91
2010-10-25,46473212,38700363,6582630,5436268687,2398665034,2589838110,114,62,390,118.5,62.2,396.5,114,61.8,389,118.5,62,395,4.5,0.2,8,22716,10753,4715,114.3,61.3,388.4,115.725,61.43,410,120.033333333333,60.6883333333333,440.85,117.36,60.584,439.43,129.5825,60.882,495.045,115.321445781541,61.5211272230046,390.56857674202,115.375604171991,61.2681078977188,408.270722919034,56.3545430685104,57.0106785476659,38.4375045167054,-0.633800278165097,0.175221747276659,-17.1197450409178,-0.833850760046872,0.175278863448518,-16.5897796892173,0.200050481881775,-5.71161718588842E-05,-0.529965351700529,115.725,60.584,410,129.5825,61.43,495.045
2010-10-26,17656603,37964025,4277923,2082389977,2359307050,1680229085,119,62.2,396,119,62.3,396.5,117,62,390,118,62.3,393,-0.5,0.3,-2,8893,9725,3308,115.5,61.62,390.9,115.75,61.495,406.925,119.775,60.6883333333333,440.225,117.08,60.624,438.09,129.415,60.869,494.135,116.214297187694,61.7807514820031,391.379051161347,115.625546631801,61.3663833360313,406.816368355316,55.0666637810742,59.1069136486942,37.5979924043165,-0.354212081653372,0.236700024069087,-16.2217847111326,-0.737923024368172,0.187563095572632,-16.5161806936003,0.383710942714799,0.049136928496455,0.294395982467765,115.75,60.624,406.925,129.415,61.495,494.135
2010-10-27,16083156,28106224,8172843,1881557596,1747861763,3159225055,118,62.3,391,119,62.4,392,116,61.9,382.5,116,62,383,-2,-0.3,-10,7269,6328,6414,115.9,61.82,389,115.675,61.52,403.625,119.441666666667,60.6883333333333,439.308333333333,116.77,60.668,436.63,129.245,60.858,493.245,116.142864791796,61.8538343213354,388.586034107565,115.661208857344,61.4267277802188,404.548142797667,50.1314996895422,56.1579118796708,33.6415694052004,-0.290669054965789,0.258237705042418,-16.1311116925131,-0.648472230487696,0.201698017466589,-16.4391668933829,0.357803175521906,0.056539687575829,0.308055200869813,115.675,60.668,403.625,129.245,61.52,493.245
2010-10-28,26111896,62152025,8635935,3051278744,3887832025,3364232620,116,62.4,385,118,63,392,115,62.1,385,116.5,62.7,391,0.5,0.7,8,9219,13925,5498,116.6,62.16,389.8,115.625,61.555,401.225,119.15,60.7,438.516666666667,116.48,60.73,435.31,129.075,60.8515,492.45,116.261909861197,62.1358895475569,389.390689405043,115.741093728073,61.5479918011503,403.257843483604,51.3064221606967,61.0421137370586,39.1575115308775,-0.19768612459842,0.328009532528163,-15.2380646073551,-0.55831500930984,0.226960320478904,-16.1989464361773,0.360628884711421,0.10104921204926,0.96088182882221,115.625,60.73,401.225,129.075,61.555,492.45
2010-10-29,11024253,67950318,7817027,1280933848,4273677075,3023729422,117.5,63,389.5,117.5,63.1,391,115.5,62.5,384.5,116,62.8,385,-0.5,0.1,-6,5045,15541,5473,117,62.36,389.4,115.7,61.595,398.025,118.85,60.715,437.633333333333,116.1,60.784,433.85,128.9125,60.843,491.585,116.174606574132,62.3572596983713,387.927126270029,115.765751468257,61.6672306772312,401.51900124707,50.0368495541968,61.6985673398022,36.6939468512244,-0.162469456936265,0.386913277338614,-14.8433631633442,-0.479145898835125,0.258950911850846,-15.9278297816107,0.316676441898861,0.127962365487768,1.08446661826652,115.7,60.784,398.025,128.9125,61.595,491.585
2010-11-01,21947562,76412451,14517968,2575234847,4844601716,5681196351,118,63.4,380,118,63.5,399,116.5,63,380,117,63.5,393.5,1,0.7,8.5,8926,16674,10631,116.7,62.66,389.1,115.725,61.675,396.3,118.55,60.7583333333333,436.783333333333,115.75,60.856,432.66,128.7575,60.8425,490.7625,116.449737716088,62.7381731322475,389.784750846686,115.88329894747,61.8417801365426,400.755286842587,52.5649805585169,66.0154734063939,42.2381873014426,-0.05325446709341,0.484494122676281,-13.6869063264314,-0.393967612486782,0.304059554015933,-15.4796450905748,0.340713145393372,0.180434568660348,1.79273876414346,115.725,60.8425,396.3,128.7575,61.675,490.7625
2010-11-02,12003827,24422860,15188732,1399067709,1544655880,5849656416,116.5,63,388,117,63.4,391,116,63,380,116.5,63.3,387.5,-0.5,-0.2,-6,6031,8113,9855,116.4,62.86,388,115.75,61.785,394.9,118.225,60.8016666666667,435.525,115.38,60.92,431.45,128.6125,60.845,489.965,116.466491810725,62.9254487548317,389.023167231124,115.942032381045,61.9806582187766,399.492878571864,51.1707761501417,63.8028165408528,39.6016887719205,-0.006966318731145,0.539470635431698,-13.1035067382355,-0.316567353735655,0.351141770299086,-15.004417420107,0.30960103500451,0.188328865132612,1.90091068187149,115.38,60.845,394.9,128.6125,61.785,489.965
2010-11-03,17667831,45944910,13680862,2046195898,2925816274,5365303105,117,63.5,390,117.5,64,397,115,63.3,385,115,63.9,393,-1.5,0.6,5.5,8255,12042,9644,116.2,63.24,390,115.6,61.89,393.925,117.908333333333,60.85,434.525,115.02,61.006,430.37,128.44,60.8485,489.065,115.97766120715,63.2502991698878,390.348778154083,115.852315011421,62.1634526741312,398.874509184068,47.131983146261,67.339506638842,43.1073849917685,-0.090279406837837,0.624258836189576,-12.0583531379312,-0.271309764356091,0.405765183477184,-14.4152045636718,0.181030357518254,0.218493652712391,2.35685142574061,115.02,60.8485,393.925,128.44,61.89,489.065
