"日期","收市","開市","高","低","成交量","升跌（%）"
"2025-2-13","23,399.41","23,263.28","23,413.10","23,206.45","3.60B","0.47%"
"2025-2-12","23,289.75","23,449.31","23,528.61","23,289.75","3.16B","-0.40%"
"2025-2-11","23,384.05","23,321.92","23,485.51","23,289.76","2.96B","0.57%"
"2025-2-10","23,252.14","23,421.77","23,448.16","23,163.85","2.71B","-0.96%"
"2025-2-7","23,478.27","23,289.97","23,478.27","23,254.17","2.67B","0.69%"
"2025-2-6","23,316.60","23,226.50","23,348.42","23,216.65","2.40B","0.67%"
"2025-2-5","23,161.58","22,916.38","23,249.33","22,916.38","2.48B","1.61%"
"2025-2-4","22,793.96","22,836.27","22,934.31","22,720.62","2.99B","0.44%"
"2025-2-3","22,694.71","22,796.71","22,796.71","22,502.20","3.43B","-3.53%"
"2025-1-22","23,525.41","23,472.67","23,642.08","23,472.67","2.69B","0.97%"
"2025-1-21","23,300.01","23,266.49","23,377.64","23,174.02","2.09B","0.14%"
"2025-1-20","23,266.82","23,203.47","23,346.64","23,176.43","2.17B","0.51%"
"2025-1-17","23,148.08","23,190.12","23,209.88","22,905.53","2.47B","0.53%"
"2025-1-16","23,025.10","22,817.52","23,147.69","22,817.52","2.50B","2.27%"
"2025-1-15","22,514.57","22,757.46","22,777.34","22,509.65","2.36B","-1.24%"
"2025-1-14","22,797.52","22,573.96","22,797.52","22,542.93","2.32B","1.37%"
"2025-1-13","22,488.33","23,070.32","23,070.32","22,458.22","3.54B","-2.28%"
"2025-1-10","23,011.86","23,067.46","23,202.25","22,989.67","2.98B","-0.30%"
"2025-1-9","23,081.13","23,406.72","23,463.96","23,081.13","3.40B","-1.39%"
"2025-1-8","23,407.33","23,522.29","23,671.28","23,388.63","2.61B","-1.03%"
"2025-1-7","23,651.27","23,824.72","23,943.95","23,651.27","3.21B","0.44%"
"2025-1-6","23,547.71","23,131.79","23,553.29","23,131.79","2.96B","2.79%"
"2025-1-3","22,908.30","23,018.56","23,092.07","22,905.40","2.83B","0.33%"
"2025-1-2","22,832.06","22,975.71","23,038.08","22,713.63","3.15B","-0.88%"
"2024-12-31","23,035.10","23,094.07","23,123.96","22,972.99","2.57B","-0.67%"
"2024-12-30","23,190.20","23,274.26","23,331.67","23,159.70","2.48B","-0.37%"
"2024-12-27","23,275.68","23,251.28","23,335.66","23,204.35","","0.12%"
"2024-12-26","23,246.94","23,276.08","23,320.62","23,241.94","2.94B","0.12%"
"2024-12-25","23,220.13","23,226.35","23,296.36","23,159.36","3.07B","0.43%"
"2024-12-24","23,120.24","23,260.74","23,326.25","23,120.24","3.34B","0.07%"
"2024-12-23","23,104.54","22,811.56","23,132.25","22,811.56","3.50B","2.64%"
"2024-12-20","22,510.25","22,798.39","22,845.59","22,510.25","4.68B","-1.84%"
"2024-12-19","22,932.25","22,947.56","22,947.56","22,743.30","3.45B","-1.02%"
"2024-12-18","23,168.67","23,014.43","23,211.17","22,934.59","3.30B","0.65%"
"2024-12-17","23,018.01","23,131.57","23,223.51","23,018.01","3.43B","-0.10%"
"2024-12-16","23,039.90","23,207.21","23,264.40","22,959.91","3.19B","0.08%"
"2024-12-13","23,020.48","23,002.37","23,097.52","22,920.84","3.05B","-0.11%"
"2024-12-12","23,046.80","23,050.64","23,189.29","23,030.48","3.06B","0.63%"
"2024-12-11","22,903.63","23,108.36","23,108.36","22,880.57","2.76B","-0.96%"
"2024-12-10","23,125.08","23,228.26","23,329.01","23,071.43","2.91B","-0.64%"
"2024-12-9","23,273.25","23,287.79","23,325.99","23,172.22","3.21B","0.34%"
"2024-12-6","23,193.27","23,278.68","23,361.12","23,137.62","2.95B","-0.32%"
"2024-12-5","23,267.94","23,308.29","23,387.17","23,225.31","2.85B","0.05%"
"2024-12-4","23,255.33","23,126.08","23,255.33","23,034.70","2.84B","0.99%"
"2024-12-3","23,027.46","22,972.30","23,144.78","22,972.30","3.10B","1.28%"
"2024-12-2","22,736.93","22,456.50","22,802.53","22,456.50","2.81B","2.13%"
"2024-11-29","22,262.50","22,202.28","22,429.86","22,055.38","2.80B","-0.16%"
"2024-11-28","22,298.90","22,380.45","22,413.25","22,124.31","3.12B","-0.16%"
"2024-11-27","22,334.78","22,665.58","22,743.99","22,334.78","3.58B","-1.52%"
"2024-11-26","22,678.76","22,789.60","22,832.11","22,645.13","2.99B","-1.17%"
"2024-11-25","22,948.37","22,996.05","23,172.43","22,948.37","5.05B","0.19%"
"2024-11-22","22,904.32","22,799.53","23,019.04","22,799.53","3.51B","1.55%"
"2024-11-21","22,555.66","22,671.66","22,708.57","22,490.28","3.40B","-0.58%"
"2024-11-20","22,688.36","22,872.91","22,977.56","22,622.47","3.76B","-0.70%"
"2024-11-19","22,848.80","22,614.74","22,906.69","22,578.75","3.69B","1.34%"
"2024-11-18","22,546.54","22,693.96","22,781.77","22,503.69","3.43B","-0.86%"
"2024-11-15","22,742.77","22,767.11","22,940.80","22,690.77","3.82B","0.12%"
"2024-11-14","22,715.38","22,821.04","22,893.82","22,619.71","3.59B","-0.63%"
"2024-11-13","22,860.23","22,894.91","23,046.47","22,860.23","3.49B","-0.53%"
"2024-11-12","22,981.77","23,276.76","23,276.76","22,981.77","3.98B","-2.33%"
"2024-11-11","23,529.64","23,477.75","23,563.80","23,306.66","3.16B","-0.10%"
"2024-11-8","23,553.89","23,608.11","23,699.70","23,509.13","3.64B","0.62%"
"2024-11-7","23,408.82","23,180.01","23,518.63","23,132.94","3.75B","0.82%"
"2024-11-6","23,217.38","23,112.95","23,439.39","23,035.30","3.16B","0.48%"
"2024-11-5","23,106.79","22,870.11","23,178.80","22,849.83","2.87B","0.62%"
"2024-11-4","22,965.39","22,839.18","23,020.99","22,792.77","2.72B","0.81%"
"2024-11-1","22,780.08","22,438.93","22,828.98","22,231.94","3.57B","-0.18%"
"2024-10-30","22,820.43","22,985.13","23,116.33","22,801.45","2.98B","-0.46%"
"2024-10-29","22,926.59","23,048.45","23,056.57","22,711.10","2.93B","-1.17%"
"2024-10-28","23,198.07","23,455.69","23,547.12","23,164.42","2.88B","-0.64%"
"2024-10-25","23,348.45","23,255.07","23,388.53","23,222.77","2.74B","0.67%"
"2024-10-24","23,192.52","23,446.64","23,446.64","23,150.77","3.32B","-0.61%"
"2024-10-23","23,334.76","23,402.24","23,486.45","23,318.84","3.04B","-0.85%"
"2024-10-22","23,535.43","23,428.11","23,535.43","23,269.86","3.05B","-0.03%"
"2024-10-21","23,542.53","23,602.98","23,678.51","23,480.06","3.01B","0.24%"
"2024-10-18","23,487.27","23,620.57","23,713.70","23,378.36","3.78B","1.88%"
"2024-10-17","23,053.84","23,114.21","23,191.79","22,950.70","3.26B","0.19%"
"2024-10-16","23,010.98","22,990.64","23,258.52","22,866.73","3.70B","-1.21%"
"2024-10-15","23,292.04","23,083.70","23,353.91","23,082.06","3.58B","1.38%"
"2024-10-14","22,975.29","22,947.32","23,015.55","22,799.14","2.71B","0.32%"
"2024-10-11","22,901.64","22,726.19","23,011.11","22,726.19","3.01B","1.07%"
"2024-10-9","22,659.08","22,637.17","22,885.95","22,637.17","3.67B","0.21%"
"2024-10-8","22,611.39","22,691.32","22,691.32","22,418.38","3.56B","-0.40%"
"2024-10-7","22,702.56","22,479.24","22,719.07","22,479.24","3.51B","1.79%"
"2024-10-4","22,302.71","22,459.10","22,493.05","22,193.50","3.63B","-0.39%"
"2024-10-1","22,390.39","22,329.65","22,446.86","22,311.33","2.79B","0.75%"
"2024-9-30","22,224.54","22,643.91","22,691.23","22,224.54","3.57B","-2.62%"
"2024-9-27","22,822.79","22,978.97","23,079.21","22,806.83","4.10B","-0.16%"
"2024-9-26","22,858.81","22,841.42","22,961.77","22,769.24","3.92B","0.43%"
"2024-9-25","22,761.60","22,569.29","22,785.32","22,569.29","4.01B","1.47%"
"2024-9-24","22,431.78","22,273.79","22,431.78","22,154.55","3.52B","0.66%"
"2024-9-23","22,285.53","22,170.94","22,307.46","22,170.94","3.58B","0.57%"
"2024-9-20","22,159.42","22,246.24","22,354.54","22,136.53","5.08B","0.53%"
"2024-9-19","22,042.69","21,675.40","22,042.69","21,656.66","3.39B","1.68%"
"2024-9-18","21,678.84","21,813.54","21,859.16","21,584.63","3.99B","-0.78%"
"2024-9-16","21,850.08","21,800.00","21,854.74","21,736.70","2.82B","0.42%"
"2024-9-13","21,759.65","21,754.36","21,796.39","21,643.22","2.51B","0.49%"
"2024-9-12","21,653.25","21,373.64","21,706.85","21,373.64","3.05B","2.96%"
"2024-9-11","21,031.00","21,089.18","21,134.05","21,031.00","2.86B","-0.16%"
"2024-9-10","21,064.08","21,252.57","21,324.43","20,977.00","3.12B","-0.38%"
"2024-9-9","21,144.44","21,127.81","21,163.91","20,922.51","2.94B","-1.36%"
"2024-9-6","21,435.19","21,255.45","21,461.71","21,125.14","2.59B","1.17%"
"2024-9-5","21,187.71","21,271.09","21,488.81","21,150.99","3.35B","0.45%"
