日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/01/02,"10,668,557","10,539,569,604","1,010.00","1,015.00",980.00,981.00,-34.00,"33,320"
113/01/03,"13,403,900","12,879,381,226",976.00,977.00,953.00,953.00,-28.00,"36,634"
113/01/04,"9,628,243","8,961,976,323",940.00,947.00,922.00,928.00,X0.00,"26,322"
113/01/05,"5,851,876","5,418,281,372",929.00,935.00,921.00,921.00,-7.00,"14,629"
113/01/08,"6,035,931","5,581,861,138",930.00,936.00,918.00,920.00,-1.00,"13,205"
113/01/09,"5,893,697","5,489,896,904",938.00,940.00,926.00,928.00,+8.00,"9,566"
113/01/10,"4,380,442","4,054,858,477",935.00,935.00,922.00,924.00,-4.00,"8,327"
113/01/11,"7,008,030","6,482,779,978",932.00,937.00,920.00,920.00,-4.00,"11,674"
113/01/12,"4,936,513","4,561,920,934",920.00,929.00,916.00,926.00,+6.00,"9,685"
113/01/15,"4,413,758","4,080,345,389",935.00,935.00,919.00,922.00,-4.00,"9,604"
113/01/16,"11,367,477","10,254,923,229",915.00,917.00,895.00,895.00,-27.00,"37,490"
113/01/17,"12,081,845","10,707,584,168",890.00,903.00,879.00,879.00,-16.00,"30,859"
113/01/18,"6,915,744","6,173,380,276",884.00,897.00,884.00,897.00,+18.00,"11,614"
113/01/19,"9,409,813","8,600,857,759",920.00,920.00,907.00,920.00,+23.00,"13,964"
113/01/22,"9,745,086","9,050,768,641",928.00,943.00,920.00,922.00,+2.00,"15,392"
113/01/23,"6,388,646","5,841,194,585",918.00,922.00,909.00,911.00,-11.00,"14,619"
113/01/24,"8,378,719","7,791,599,313",916.00,936.00,915.00,936.00,+25.00,"13,468"
113/01/25,"9,340,986","8,802,170,010",939.00,950.00,933.00,943.00,+7.00,"16,055"
113/01/26,"5,458,694","5,095,110,405",936.00,939.00,928.00,936.00,-7.00,"10,429"
113/01/29,"7,208,528","6,734,392,277",945.00,945.00,926.00,938.00,+2.00,"10,747"
113/01/30,"9,996,375","9,570,984,605",938.00,973.00,938.00,963.00,+25.00,"21,404"
113/01/31,"9,456,227","9,151,346,526",976.00,977.00,958.00,966.00,+3.00,"14,915"
113/02/01,"17,458,860","16,288,251,640",951.00,951.00,922.00,930.00,-36.00,"37,516"
113/02/02,"8,662,912","8,069,772,997",931.00,936.00,926.00,936.00,+6.00,"10,936"
