日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,股票代碼
2010-10-21,"20,697,571","2,347,730,094",114.0,114.5,112.5,113.0,-1.00,"9,188",113.6,115.825,120.49166666666666,117.92,129.94,113.59825300846664,115.15690149542358,42.88846633695721,-1.067839006638266,-0.8467425598663083,-0.2210964467719578,115.825,129.94,2317
2010-10-22,"16,111,879","1,833,691,206",114.5,114.5,113.0,114.0,+1.00,"6,509",113.2,115.65,120.20833333333331,117.6,129.7525,113.73216867231108,115.04672040062134,45.75145666849808,-1.032346663121345,-0.8838633805173157,-0.1484832826040292,115.65,129.7525,2317
2010-10-25,"46,473,212","5,436,268,687",114.0,118.5,114.0,118.5,+4.50,"22,716",114.3,115.725,120.03333333333332,117.36,129.5825,115.32144578154072,115.37560417199074,56.35454306851041,-0.6338002781650971,-0.833850760046872,0.2000504818817748,115.725,129.5825,2317
2010-10-26,"17,656,603","2,082,389,977",119.0,119.0,117.0,118.0,-0.50,"8,893",115.5,115.75,119.775,117.08,129.415,116.21429718769384,115.62554663180116,55.06666378107425,-0.3542120816533725,-0.737923024368172,0.3837109427147995,115.75,129.415,2317
2010-10-27,"16,083,156","1,881,557,596",118.0,119.0,116.0,116.0,-2.00,"7,269",115.9,115.675,119.44166666666666,116.77,129.245,116.14286479179589,115.66120885734392,50.13149968954219,-0.2906690549657895,-0.6484722304876956,0.3578031755219061,115.675,129.245,2317
2010-10-28,"26,111,896","3,051,278,744",116.0,118.0,115.0,116.5,+0.50,"9,219",116.6,115.625,119.15,116.48,129.075,116.26190986119728,115.74109372807304,51.30642216069671,-0.1976861245984196,-0.5583150093098405,0.3606288847114208,115.625,129.075,2317
2010-10-29,"11,024,253","1,280,933,848",117.5,117.5,115.5,116.0,-0.50,"5,045",117.0,115.7,118.85,116.1,128.9125,116.17460657413152,115.76575146825658,50.03684955419681,-0.1624694569362645,-0.4791458988351252,0.3166764418988607,115.7,128.9125,2317
2010-11-01,"21,947,562","2,575,234,847",118.0,118.0,116.5,117.0,+1.00,"8,926",116.7,115.725,118.55,115.75,128.7575,116.4497377160877,115.88329894747024,52.56498055851691,-0.05325446709341,-0.3939676124867822,0.3407131453933721,115.725,128.7575,2317
2010-11-02,"12,003,827","1,399,067,709",116.5,117.0,116.0,116.5,-0.50,"6,031",116.4,115.75,118.225,115.38,128.6125,116.46649181072512,115.9420323810445,51.17077615014171,-0.0069663187311448,-0.3165673537356547,0.3096010350045099,115.38,128.6125,2317
2010-11-03,"17,667,831","2,046,195,898",117.0,117.5,115.0,115.0,-1.50,"8,255",116.2,115.6,117.90833333333332,115.02,128.44,115.97766120715008,115.8523150114212,47.13198314626096,-0.0902794068378369,-0.2713097643560912,0.1810303575182542,115.02,128.44,2317
2010-11-04,"18,447,095","2,146,756,555",116.0,117.0,115.0,117.0,+2.00,"6,612",116.3,115.55,117.675,114.97,128.2625,116.31844080476674,115.9616183436668,52.51370554484208,0.0050197908772844,-0.216043853309416,0.2210636441867005,114.97,128.2625,2317
