日期,收市,開市,高,低,成交量,升跌（%）
2025-2-13,23399.41,23263.28,23413.1,23206.45,3.60B,0.47%
2025-2-12,23289.75,23449.31,23528.61,23289.75,3.16B,-0.40%
2025-2-11,23384.05,23321.92,23485.51,23289.76,2.96B,0.57%
2025-2-10,23252.14,23421.77,23448.16,23163.85,2.71B,-0.96%
2025-2-7,23478.27,23289.97,23478.27,23254.17,2.67B,0.69%
2025-2-6,23316.6,23226.5,23348.42,23216.65,2.40B,0.67%
2025-2-5,23161.58,22916.38,23249.33,22916.38,2.48B,1.61%
2025-2-4,22793.96,22836.27,22934.31,22720.62,2.99B,0.44%
2025-2-3,22694.71,22796.71,22796.71,22502.2,3.43B,-3.53%
2025-1-22,23525.41,23472.67,23642.08,23472.67,2.69B,0.97%
2025-1-21,23300.01,23266.49,23377.64,23174.02,2.09B,0.14%
2025-1-20,23266.82,23203.47,23346.64,23176.43,2.17B,0.51%
2025-1-17,23148.08,23190.12,23209.88,22905.53,2.47B,0.53%
2025-1-16,23025.1,22817.52,23147.69,22817.52,2.50B,2.27%
2025-1-15,22514.57,22757.46,22777.34,22509.65,2.36B,-1.24%
2025-1-14,22797.52,22573.96,22797.52,22542.93,2.32B,1.37%
2025-1-13,22488.33,23070.32,23070.32,22458.22,3.54B,-2.28%
2025-1-10,23011.86,23067.46,23202.25,22989.67,2.98B,-0.30%
2025-1-9,23081.13,23406.72,23463.96,23081.13,3.40B,-1.39%
2025-1-8,23407.33,23522.29,23671.28,23388.63,2.61B,-1.03%
2025-1-7,23651.27,23824.72,23943.95,23651.27,3.21B,0.44%
2025-1-6,23547.71,23131.79,23553.29,23131.79,2.96B,2.79%
2025-1-3,22908.3,23018.56,23092.07,22905.4,2.83B,0.33%
2025-1-2,22832.06,22975.71,23038.08,22713.63,3.15B,-0.88%
2024-12-31,23035.1,23094.07,23123.96,22972.99,2.57B,-0.67%
2024-12-30,23190.2,23274.26,23331.67,23159.7,2.48B,-0.37%
2024-12-27,23275.68,23251.28,23335.66,23204.35,2.96B,0.12%
2024-12-26,23246.94,23276.08,23320.62,23241.94,2.94B,0.12%
2024-12-25,23220.13,23226.35,23296.36,23159.36,3.07B,0.43%
2024-12-24,23120.24,23260.74,23326.25,23120.24,3.34B,0.07%
2024-12-23,23104.54,22811.56,23132.25,22811.56,3.50B,2.64%
2024-12-20,22510.25,22798.39,22845.59,22510.25,4.68B,-1.84%
2024-12-19,22932.25,22947.56,22947.56,22743.3,3.45B,-1.02%
2024-12-18,23168.67,23014.43,23211.17,22934.59,3.30B,0.65%
2024-12-17,23018.01,23131.57,23223.51,23018.01,3.43B,-0.10%
2024-12-16,23039.9,23207.21,23264.4,22959.91,3.19B,0.08%
2024-12-13,23020.48,23002.37,23097.52,22920.84,3.05B,-0.11%
2024-12-12,23046.8,23050.64,23189.29,23030.48,3.06B,0.63%
2024-12-11,22903.63,23108.36,23108.36,22880.57,2.76B,-0.96%
2024-12-10,23125.08,23228.26,23329.01,23071.43,2.91B,-0.64%
2024-12-9,23273.25,23287.79,23325.99,23172.22,3.21B,0.34%
2024-12-6,23193.27,23278.68,23361.12,23137.62,2.95B,-0.32%
2024-12-5,23267.94,23308.29,23387.17,23225.31,2.85B,0.05%
2024-12-4,23255.33,23126.08,23255.33,23034.7,2.84B,0.99%
2024-12-3,23027.46,22972.3,23144.78,22972.3,3.10B,1.28%
2024-12-2,22736.93,22456.5,22802.53,22456.5,2.81B,2.13%
2024-11-29,22262.5,22202.28,22429.86,22055.38,2.80B,-0.16%
2024-11-28,22298.9,22380.45,22413.25,22124.31,3.12B,-0.16%
2024-11-27,22334.78,22665.58,22743.99,22334.78,3.58B,-1.52%
2024-11-26,22678.76,22789.6,22832.11,22645.13,2.99B,-1.17%
2024-11-25,22948.37,22996.05,23172.43,22948.37,5.05B,0.19%
2024-11-22,22904.32,22799.53,23019.04,22799.53,3.51B,1.55%
2024-11-21,22555.66,22671.66,22708.57,22490.28,3.40B,-0.58%
2024-11-20,22688.36,22872.91,22977.56,22622.47,3.76B,-0.70%
2024-11-19,22848.8,22614.74,22906.69,22578.75,3.69B,1.34%
2024-11-18,22546.54,22693.96,22781.77,22503.69,3.43B,-0.86%
2024-11-15,22742.77,22767.11,22940.8,22690.77,3.82B,0.12%
2024-11-14,22715.38,22821.04,22893.82,22619.71,3.59B,-0.63%
2024-11-13,22860.23,22894.91,23046.47,22860.23,3.49B,-0.53%
2024-11-12,22981.77,23276.76,23276.76,22981.77,3.98B,-2.33%
2024-11-11,23529.64,23477.75,23563.8,23306.66,3.16B,-0.10%
2024-11-8,23553.89,23608.11,23699.7,23509.13,3.64B,0.62%
2024-11-7,23408.82,23180.01,23518.63,23132.94,3.75B,0.82%
2024-11-6,23217.38,23112.95,23439.39,23035.3,3.16B,0.48%
2024-11-5,23106.79,22870.11,23178.8,22849.83,2.87B,0.62%
2024-11-4,22965.39,22839.18,23020.99,22792.77,2.72B,0.81%
2024-11-1,22780.08,22438.93,22828.98,22231.94,3.57B,-0.18%
2024-10-30,22820.43,22985.13,23116.33,22801.45,2.98B,-0.46%
2024-10-29,22926.59,23048.45,23056.57,22711.1,2.93B,-1.17%
2024-10-28,23198.07,23455.69,23547.12,23164.42,2.88B,-0.64%
2024-10-25,23348.45,23255.07,23388.53,23222.77,2.74B,0.67%
2024-10-24,23192.52,23446.64,23446.64,23150.77,3.32B,-0.61%
2024-10-23,23334.76,23402.24,23486.45,23318.84,3.04B,-0.85%
2024-10-22,23535.43,23428.11,23535.43,23269.86,3.05B,-0.03%
2024-10-21,23542.53,23602.98,23678.51,23480.06,3.01B,0.24%
2024-10-18,23487.27,23620.57,23713.7,23378.36,3.78B,1.88%
2024-10-17,23053.84,23114.21,23191.79,22950.7,3.26B,0.19%
